case,year,Scenario,TechSensitivity,nonsrec_energy_revenue,nonsrec_capacity_revenue,nonsrec_rps_revenue,nonsrec_revenue,capacity,output,capacityfactor,nonsrec_revenue_permwh
deepdecarbonization_dgsolar_noflexibleload,2040,DD + High Solar,No Flexible Load,448650711.80751765,2152388.550239417,-7,450803093.3577571,10473.906,18764823.185694236,0.20451807600619604,24.023839121566382
deepdecarbonization_dgsolar_noflexibleload,2050,DD + High Solar,No Flexible Load,682129811.023195,8606212.953254903,-5,690736018.97645,15730.893916666668,27918570.264222734,0.20259823865754945,24.741095709389487
deepdecarbonization_dgsolar_nointertrans,2030,DD + High Solar,No Interregional Transmission Upgrade,215119302.36506945,1598837.4752268316,-3,216718136.84029627,4370.225083333334,7839489.807756768,0.20477639269406395,27.644418470429663
deepdecarbonization_dgsolar_nointertrans,2040,DD + High Solar,No Interregional Transmission Upgrade,419562501.86848533,2061834.640489771,-11,421624325.5089751,10473.906,18764823.185694236,0.20451807600619604,22.468867483409564
deepdecarbonization_dgsolar_nointertrans,2050,DD + High Solar,No Interregional Transmission Upgrade,613082575.6191653,2349375.663251421,-1,615431950.2824167,15730.893916666668,27918570.264222734,0.20259823865754945,22.043820455630005
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2030,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,214416129.25332475,1128010.4769967697,0,215544139.73032153,4370.225083333334,7839489.807756768,0.20477639269406395,27.494664195755675
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2040,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,415259057.9518782,2658780.731291047,-13,417917825.68316925,10473.906,18764823.185694236,0.20451807600619604,22.271343649098586
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2050,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,587251463.3306651,4617148.270748484,-58,591868553.6014136,15730.893916666668,27918570.264222734,0.20259823865754945,21.19981603642093
deepdecarbonization_dgsolar_nuclear_highngcost,2030,DD + High Solar + Nuclear,High NatGas Price,216476373.56470823,792195.8594695218,-2,217268567.42417777,4370.225083333334,7839489.807756768,0.20477639269406395,27.714631022187415
deepdecarbonization_dgsolar_nuclear_highngcost,2040,DD + High Solar + Nuclear,High NatGas Price,420296629.0544092,2730553.7419365332,-1,423027181.7963457,10473.906,18764823.185694236,0.20451807600619604,22.54362738247646
deepdecarbonization_dgsolar_nuclear_highngcost,2050,DD + High Solar + Nuclear,High NatGas Price,617005927.4156196,3411942.3004228193,-3,620417866.7160424,15730.893916666668,27918570.264222734,0.20259823865754945,22.222408269634762
deepdecarbonization_dgsolar_nuclear_highrecost,2030,DD + High Solar + Nuclear,High RE/BESS Cost,244061393.53657618,2428546.348652278,0,246489939.88522846,4370.225083333334,7839489.807756768,0.20477639269406395,31.44208946369692
deepdecarbonization_dgsolar_nuclear_highrecost,2040,DD + High Solar + Nuclear,High RE/BESS Cost,553397120.887796,669377.7634994783,-3,554066495.6512955,10473.906,18764823.185694236,0.20451807600619604,29.52687004659335
deepdecarbonization_dgsolar_nuclear_highrecost,2050,DD + High Solar + Nuclear,High RE/BESS Cost,659120835.4322972,595130.1467086924,-14,659715951.579006,15730.893916666668,27918570.264222734,0.20259823865754945,23.630004879742103
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2030,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,214415907.97752613,1128022.1140321214,-3,215543927.09155825,4370.225083333334,7839489.807756768,0.20477639269406395,27.494637071699326
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2040,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,415258980.5199459,2658767.647287672,-14,417917734.1672336,10473.906,18764823.185694236,0.20451807600619604,22.27133877210429
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2050,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,587247277.5941098,4619559.401490309,2512,591869348.9956001,15730.893916666668,27918570.264222734,0.20259823865754945,21.199844526210306
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2030,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,216477625.9691204,792144.0670580142,0,217269770.03617844,4370.225083333334,7839489.807756768,0.20477639269406395,27.71478442655813
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2040,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,420297025.01086473,2730570.5085652582,-2,423027593.51943,10473.906,18764823.185694236,0.20451807600619604,22.543649323694886
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2050,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,616418707.9749016,3444226.4742206857,5202157,625065091.4491222,15730.893916666668,27918570.264222734,0.20259823865754945,22.388864670843642
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2030,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,244060361.70799282,2428479.2587048886,-1,246488839.96669772,4370.225083333334,7839489.807756768,0.20477639269406395,31.441949158835545
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2040,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,553368263.7238413,669224.4757903871,-23,554037465.1996317,10473.906,18764823.185694236,0.20451807600619604,29.525322978903098
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2050,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,640688559.5932926,599497.319723692,130192796,771480852.9130163,15730.893916666668,27918570.264222734,0.20259823865754945,27.633250757889222
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2030,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,216830113.00834835,1140377.4255939978,-1,217970489.43394235,4370.225083333334,7839489.807756768,0.20477639269406395,27.80416771742874
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2040,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,418184440.5570419,936074.2077326807,-15,419120499.76477456,10473.906,18764823.185694236,0.20451807600619604,22.335435597618634
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2050,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,593967610.2413375,2273006.8044611737,4989491,601230108.0457987,15730.893916666668,27918570.264222734,0.20259823865754945,21.53513243535493
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2030,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,196196324.63954532,1462001.7299857584,-2,197658324.36953107,4370.225083333334,7839489.807756768,0.20477639269406395,25.213161725646792
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2040,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,363525886.05422586,3642998.943420086,-4,367168880.997646,10473.906,18764823.185694236,0.20451807600619604,19.5668713402834
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2050,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,565176224.5621105,8516308.8117508,-62,573692471.3738613,15730.893916666668,27918570.264222734,0.20259823865754945,20.548776887369492
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2030,DD + High Solar + Nuclear + 80% Instate,Mid,214415907.97752613,1128022.1140321214,-3,215543927.09155825,4370.225083333334,7839489.807756768,0.20477639269406395,27.494637071699326
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2040,DD + High Solar + Nuclear + 80% Instate,Mid,418064077.32612526,1640066.6762345089,-32,419704112.00235975,10473.906,18764823.185694236,0.20451807600619604,22.36653699579382
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2050,DD + High Solar + Nuclear + 80% Instate,Mid,623409281.1860242,2464848.604664591,9423,625883552.7906888,15730.893916666668,27918570.264222734,0.20259823865754945,22.41818069003161
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2030,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,212255722.21560663,615236.7648302496,-2,212870956.9804369,4370.225083333334,7839489.807756768,0.20477639269406395,27.15367481820209
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2040,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,448654287.614923,2152392.697906193,-38,450806642.3128292,10473.906,18764823.185694236,0.20451807600619604,24.024028249651256
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2050,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,682121303.3329691,8606338.693436157,-14,690727628.0264052,15730.893916666668,27918570.264222734,0.20259823865754945,24.74079515853873
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2030,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,215119143.20059806,1598951.1710025994,-2,216718092.37160066,4370.225083333334,7839489.807756768,0.20477639269406395,27.644412798033027
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2040,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,419562696.7129433,2061803.507851577,-17,421624483.2207949,10473.906,18764823.185694236,0.20451807600619604,22.468875888062154
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2050,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,613085147.511158,2349203.8630127776,238,615434589.3741708,15730.893916666668,27918570.264222734,0.20259823865754945,22.04391498381426
deepdecarbonization_dgsolar_nuclear_lowngcost,2030,DD + High Solar + Nuclear,Low NatGas Price,216830538.95077956,1140383.089405706,-2,217970920.04018527,4370.225083333334,7839489.807756768,0.20477639269406395,27.804222645268876
deepdecarbonization_dgsolar_nuclear_lowngcost,2040,DD + High Solar + Nuclear,Low NatGas Price,418190832.47076154,935896.8635562888,-1,419126728.3343178,10473.906,18764823.185694236,0.20451807600619604,22.335767525582018
deepdecarbonization_dgsolar_nuclear_lowngcost,2050,DD + High Solar + Nuclear,Low NatGas Price,595607850.919031,2267117.214409991,-2,597874966.133441,15730.893916666668,27918570.264222734,0.20259823865754945,21.414956442078612
deepdecarbonization_dgsolar_nuclear_lowrecost,2030,DD + High Solar + Nuclear,Low RE/BESS Cost,196196214.0737728,1461982.4572931412,-1,197658195.53106594,4370.225083333334,7839489.807756768,0.20477639269406395,25.21314529109961
deepdecarbonization_dgsolar_nuclear_lowrecost,2040,DD + High Solar + Nuclear,Low RE/BESS Cost,363542027.2646369,3643091.423820504,0,367185118.68845737,10473.906,18764823.185694236,0.20451807600619604,19.567736666359252
deepdecarbonization_dgsolar_nuclear_lowrecost,2050,DD + High Solar + Nuclear,Low RE/BESS Cost,565177393.8799149,8517197.921874968,-17,573694574.8017899,15730.893916666668,27918570.264222734,0.20259823865754945,20.54885222890413
deepdecarbonization_dgsolar_nuclear_mid,2030,DD + High Solar + Nuclear,Mid,214416129.25332475,1128010.4769967697,0,215544139.73032153,4370.225083333334,7839489.807756768,0.20477639269406395,27.494664195755675
deepdecarbonization_dgsolar_nuclear_mid,2040,DD + High Solar + Nuclear,Mid,418065429.23822415,1639996.9828639845,-3,419705423.2210881,10473.906,18764823.185694236,0.20451807600619604,22.366606872217133
deepdecarbonization_dgsolar_nuclear_mid,2050,DD + High Solar + Nuclear,Mid,623414417.4859107,2465372.1413988527,-9,625879780.6273096,15730.893916666668,27918570.264222734,0.20259823865754945,22.418045576974475
deepdecarbonization_dgsolar_nuclear_noflexibleload,2030,DD + High Solar + Nuclear,No Flexible Load,212254173.16349202,615299.5439876168,0,212869472.70747963,4370.225083333334,7839489.807756768,0.20477639269406395,27.15348548535089
deepdecarbonization_dgsolar_nuclear_noflexibleload,2040,DD + High Solar + Nuclear,No Flexible Load,448651462.02919686,2152380.3051806134,-3,450803839.33437747,10473.906,18764823.185694236,0.20451807600619604,24.023878875557827
deepdecarbonization_dgsolar_nuclear_noflexibleload,2050,DD + High Solar + Nuclear,No Flexible Load,682131986.8538233,8606118.152595803,-4,690738101.0064191,15730.893916666668,27918570.264222734,0.20259823865754945,24.741170284482315
deepdecarbonization_dgsolar_nuclear_nointertrans,2030,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,215119302.36506945,1598837.4752268316,-3,216718136.84029627,4370.225083333334,7839489.807756768,0.20477639269406395,27.644418470429663
deepdecarbonization_dgsolar_nuclear_nointertrans,2040,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,419562470.7435361,2061936.3337379065,-8,421624399.077274,10473.906,18764823.185694236,0.20451807600619604,22.46887140395271
deepdecarbonization_dgsolar_nuclear_nointertrans,2050,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,613077014.9507333,2349789.5619474407,-1,615426803.5126808,15730.893916666668,27918570.264222734,0.20259823865754945,22.043636106299534
deepdecarbonization_doublezcfcost,2030,Deep Decarbonization (DD),Doubled ZCF Fuel Price,98648009.08717632,1185489.9288369832,0,99833499.01601331,1960.4601499999999,3516754.1880281805,0.20477639269406397,28.387966197884662
deepdecarbonization_doublezcfcost,2040,Deep Decarbonization (DD),Doubled ZCF Fuel Price,84464025.12402435,529074.1618507138,0,84993099.28587507,1960.4601499999999,3516754.1880281805,0.20477639269406397,24.168052340766558
