name,case,year,rps_revenue,capacity,capacityfactor,rps_revenue_per_mwh,Scenario,TechSensitivity
MIS_East,statedpolicy_mid,2030,-0,136.2883046,0.2028285844748858,-0,Stated Policy (SP),Mid
NY_East,statedpolicy_mid,2030,39051002,1499.8591579999998,0.2052567579908676,14.480385751821066,Stated Policy (SP),Mid
NY_West,statedpolicy_mid,2030,13740167,526.977542,0.20525675799086757,14.501012691072667,Stated Policy (SP),Mid
PJM_COMD,statedpolicy_mid,2030,2482674,481.7118708,0.20897022831050224,2.815424100743773,Stated Policy (SP),Mid
PJM_Delaware,statedpolicy_mid,2030,3300827,626.6970713999999,0.21348823799470185,2.816352680731582,Stated Policy (SP),Mid
PJM_Dom,statedpolicy_mid,2030,987427,184.80067759999997,0.21561282498164652,2.8289335291845634,Stated Policy (SP),Mid
PJM_NJCoast,statedpolicy_mid,2030,10184604,2011.9683527999998,0.20477639269406395,2.8218830289928247,Stated Policy (SP),Mid
PJM_NJLand,statedpolicy_mid,2030,19579267,3870.9800471999997,0.20477639269406395,2.819625967885395,Stated Policy (SP),Mid
PJM_PECO,statedpolicy_mid,2030,846366,164.4267353,0.20723534246575342,2.835422918721961,Stated Policy (SP),Mid
PJM_SMAC,statedpolicy_mid,2030,20058875,3791.5132052999998,0.21416158255810666,2.8199949168887883,Stated Policy (SP),Mid
PJM_WEST,statedpolicy_mid,2030,4401103,843.6605847,0.2110984822277493,2.8210095475166566,Stated Policy (SP),Mid
PJM_WestMAC,statedpolicy_mid,2030,818154,162.3904909,0.20723534246575342,2.7752782625068235,Stated Policy (SP),Mid
SC_TVA,statedpolicy_mid,2030,-0,132.57017249999998,0.21701011644492688,-0,Stated Policy (SP),Mid
SC_VACA,statedpolicy_mid,2030,-0,510.9217339999999,0.21617944195790062,-0,Stated Policy (SP),Mid
MIS_Central,statedpolicy_mid,2040,-0,552.315614,0.2166453037361896,-0,Stated Policy (SP),Mid
MIS_East,statedpolicy_mid,2040,-0,136.2883046,0.2028285844748858,-0,Stated Policy (SP),Mid
NY_East,statedpolicy_mid,2040,44115719,1499.8591579999998,0.2052567579908676,16.358418379096694,Stated Policy (SP),Mid
NY_West,statedpolicy_mid,2040,15522197,526.977542,0.20525675799086757,16.381720519869233,Stated Policy (SP),Mid
PJM_COMD,statedpolicy_mid,2040,350152,481.7118708,0.20897022831050224,0.39708249239474597,Stated Policy (SP),Mid
PJM_Delaware,statedpolicy_mid,2040,493396,661.6038196,0.21352812079547911,0.3986928399647952,Stated Policy (SP),Mid
PJM_Dom,statedpolicy_mid,2040,139265,184.80067759999997,0.21561282498164652,0.39898790284435026,Stated Policy (SP),Mid
PJM_NJCoast,statedpolicy_mid,2040,1436419,2011.9683527999998,0.20477639269406395,0.3979935202804984,Stated Policy (SP),Mid
PJM_NJLand,statedpolicy_mid,2040,2761427,3870.9800471999997,0.20477639269406395,0.3976753204100982,Stated Policy (SP),Mid
PJM_PECO,statedpolicy_mid,2040,119370,164.4267353,0.20723534246575342,0.39990315514545777,Stated Policy (SP),Mid
PJM_SMAC,statedpolicy_mid,2040,3131474,4192.7348855,0.21419624883045676,0.3980479954223097,Stated Policy (SP),Mid
PJM_WEST,statedpolicy_mid,2040,640619,868.5094562999999,0.21118848288863662,0.39870430709373417,Stated Policy (SP),Mid
PJM_WestMAC,statedpolicy_mid,2040,115391,162.3904909,0.20723534246575342,0.3914203609454025,Stated Policy (SP),Mid
SC_TVA,statedpolicy_mid,2040,-0,132.57017249999998,0.21701011644492688,-0,Stated Policy (SP),Mid
SC_VACA,statedpolicy_mid,2040,-0,510.9217339999999,0.21617944195790062,-0,Stated Policy (SP),Mid
MIS_Central,statedpolicy_mid,2050,-0,552.315614,0.2166453037361896,-0,Stated Policy (SP),Mid
MIS_East,statedpolicy_mid,2050,-0,136.2883046,0.2028285844748858,-0,Stated Policy (SP),Mid
NY_East,statedpolicy_mid,2050,68515528,1499.8591579999998,0.2052567579908676,25.406038888059705,Stated Policy (SP),Mid
NY_West,statedpolicy_mid,2050,24107315,526.977542,0.20525675799086757,25.442229396679565,Stated Policy (SP),Mid
PJM_COMD,statedpolicy_mid,2050,707971,481.7118708,0.20897022831050224,0.8028595844753156,Stated Policy (SP),Mid
PJM_Delaware,statedpolicy_mid,2050,1037822,690.3432978,0.21355792981469393,0.8035963425647545,Stated Policy (SP),Mid
PJM_Dom,statedpolicy_mid,2050,281580,184.80067759999997,0.21561282498164652,0.806713917229111,Stated Policy (SP),Mid
PJM_NJCoast,statedpolicy_mid,2050,2904291,2011.9683527999998,0.20477639269406395,0.804701830739477,Stated Policy (SP),Mid
PJM_NJLand,statedpolicy_mid,2050,5583319,3870.9800471999997,0.20477639269406395,0.80405825403923,Stated Policy (SP),Mid
PJM_PECO,statedpolicy_mid,2050,241354,164.4267353,0.20723534246575342,0.8085635093153791,Stated Policy (SP),Mid
PJM_SMAC,statedpolicy_mid,2050,6669412,4417.4053957,0.21420334799001345,0.8046183421452288,Stated Policy (SP),Mid
PJM_WEST,statedpolicy_mid,2050,1327446,888.9680678999999,0.21125880579032308,0.8068852477071293,Stated Policy (SP),Mid
PJM_WestMAC,statedpolicy_mid,2050,233309,162.3904909,0.20723534246575342,0.7914126144310294,Stated Policy (SP),Mid
SC_TVA,statedpolicy_mid,2050,-0,132.57017249999998,0.21701011644492688,-0,Stated Policy (SP),Mid
SC_VACA,statedpolicy_mid,2050,-0,510.9217339999999,0.21617944195790062,-0,Stated Policy (SP),Mid
MIS_Central,statedpolicy_dgsolar_mid,2030,-1,552.315614,0.2166453037361896,-9.540239857268032e-7,SP + High Solar,Mid
MIS_East,statedpolicy_dgsolar_mid,2030,-0,136.2883046,0.2028285844748858,-0,SP + High Solar,Mid
NY_East,statedpolicy_dgsolar_mid,2030,39514280,1499.8591579999998,0.2052567579908676,14.65217248728901,SP + High Solar,Mid
NY_West,statedpolicy_dgsolar_mid,2030,13903173,526.977542,0.20525675799086757,14.673044957836307,SP + High Solar,Mid
PJM_COMD,statedpolicy_dgsolar_mid,2030,2290393,481.7118708,0.20897022831050224,2.5973718870761253,SP + High Solar,Mid
PJM_Delaware,statedpolicy_dgsolar_mid,2030,3045182,626.6970713999999,0.21348823799470185,2.598229622156981,SP + High Solar,Mid
PJM_Dom,statedpolicy_dgsolar_mid,2030,910952,184.80067759999997,0.21561282498164652,2.6098361258885334,SP + High Solar,Mid
PJM_NJCoast,statedpolicy_dgsolar_mid,2030,13247843,2836.10796,0.20477639269406395,2.6039846476313624,SP + High Solar,Mid
PJM_NJLand,statedpolicy_dgsolar_mid,2030,25480626,5456.605373333334,0.2047763926940639,2.6031761257990365,SP + High Solar,Mid
PJM_PECO,statedpolicy_dgsolar_mid,2030,780816,164.4267353,0.20723534246575342,2.6158229202316807,SP + High Solar,Mid
PJM_SMAC,statedpolicy_dgsolar_mid,2030,18505337,3791.5132052999998,0.21416158255810666,2.6015893850135674,SP + High Solar,Mid
PJM_WEST,statedpolicy_dgsolar_mid,2030,4060243,843.6605847,0.2110984822277493,2.602525836872637,SP + High Solar,Mid
PJM_WestMAC,statedpolicy_dgsolar_mid,2030,754789,162.3904909,0.20723534246575342,2.5603364458027005,SP + High Solar,Mid
SC_TVA,statedpolicy_dgsolar_mid,2030,-0,132.57017249999998,0.21701011644492688,-0,SP + High Solar,Mid
SC_VACA,statedpolicy_dgsolar_mid,2030,-1,510.9217339999999,0.21617944195790062,-1.0335396088425511e-6,SP + High Solar,Mid
MIS_Central,statedpolicy_dgsolar_mid,2040,-0,552.315614,0.2166453037361896,-0,SP + High Solar,Mid
MIS_East,statedpolicy_dgsolar_mid,2040,-0,136.2883046,0.2028285844748858,-0,SP + High Solar,Mid
NY_East,statedpolicy_dgsolar_mid,2040,47009544,1499.8591579999998,0.2052567579908676,17.431469009097523,SP + High Solar,Mid
NY_West,statedpolicy_dgsolar_mid,2040,16540395,526.977542,0.20525675799086757,17.456300044268378,SP + High Solar,Mid
PJM_COMD,statedpolicy_dgsolar_mid,2040,202701,481.7118708,0.20897022831050224,0.22986879495449802,SP + High Solar,Mid
PJM_Delaware,statedpolicy_dgsolar_mid,2040,285624,661.6038196,0.21352812079547911,0.23080090580812304,SP + High Solar,Mid
PJM_Dom,statedpolicy_dgsolar_mid,2040,80620,184.80067759999997,0.21561282498164652,0.23097264012717852,SP + High Solar,Mid
PJM_NJCoast,statedpolicy_dgsolar_mid,2040,2027009,4923.5668335,0.20402108074123393,0.23035449409848305,SP + High Solar,Mid
PJM_NJLand,statedpolicy_dgsolar_mid,2040,3913509,9472.8274165,0.20477639269406392,0.23030465566380445,SP + High Solar,Mid
PJM_PECO,statedpolicy_dgsolar_mid,2040,69103,164.4267353,0.20723534246575342,0.2315029549301882,SP + High Solar,Mid
PJM_SMAC,statedpolicy_dgsolar_mid,2040,1812791,4192.7348855,0.21419624883045676,0.2304275314658861,SP + High Solar,Mid
PJM_WEST,statedpolicy_dgsolar_mid,2040,370850,868.5094562999999,0.21118848288863662,0.2308072228355876,SP + High Solar,Mid
PJM_WestMAC,statedpolicy_dgsolar_mid,2040,66799,162.3904909,0.20723534246575342,0.2265903639867229,SP + High Solar,Mid
SC_TVA,statedpolicy_dgsolar_mid,2040,-0,132.57017249999998,0.21701011644492688,-0,SP + High Solar,Mid
SC_VACA,statedpolicy_dgsolar_mid,2040,-0,510.9217339999999,0.21617944195790062,-0,SP + High Solar,Mid
MIS_Central,statedpolicy_dgsolar_mid,2050,-0,552.315614,0.2166453037361896,-0,SP + High Solar,Mid
MIS_East,statedpolicy_dgsolar_mid,2050,-0,136.2883046,0.2028285844748858,-0,SP + High Solar,Mid
NY_East,statedpolicy_dgsolar_mid,2050,70991850,1499.8591579999998,0.2052567579908676,26.3242764740177,SP + High Solar,Mid
NY_West,statedpolicy_dgsolar_mid,2050,24978614,526.977542,0.20525675799086757,26.36177556061767,SP + High Solar,Mid
PJM_COMD,statedpolicy_dgsolar_mid,2050,393603,481.7118708,0.20897022831050224,0.44635718274934655,SP + High Solar,Mid
PJM_Delaware,statedpolicy_dgsolar_mid,2050,576986,690.3432978,0.21355792981469393,0.44676624634192325,SP + High Solar,Mid
PJM_Dom,statedpolicy_dgsolar_mid,2050,156547,184.80067759999997,0.21561282498164652,0.4485000483005386,SP + High Solar,Mid
PJM_NJCoast,statedpolicy_dgsolar_mid,2050,5255493,6721.456701,0.1995537296539378,0.4472868201645713,SP + High Solar,Mid
PJM_NJLand,statedpolicy_dgsolar_mid,2050,10345495,12931.925465666667,0.20418064303328684,0.44726962867361675,SP + High Solar,Mid
PJM_PECO,statedpolicy_dgsolar_mid,2050,134183,164.4267353,0.20723534246575342,0.4495283996555496,SP + High Solar,Mid
PJM_SMAC,statedpolicy_dgsolar_mid,2050,3707918,4417.4053957,0.21420334799001345,0.4473346127020571,SP + High Solar,Mid
PJM_WEST,statedpolicy_dgsolar_mid,2050,738005,888.9680678999999,0.21125880579032308,0.44859478067966607,SP + High Solar,Mid
PJM_WestMAC,statedpolicy_dgsolar_mid,2050,129710,162.3904909,0.20723534246575342,0.439992157258609,SP + High Solar,Mid
SC_TVA,statedpolicy_dgsolar_mid,2050,-0,132.57017249999998,0.21701011644492688,-0,SP + High Solar,Mid
SC_VACA,statedpolicy_dgsolar_mid,2050,-0,510.9217339999999,0.21617944195790062,-0,SP + High Solar,Mid
MIS_Central,statedpolicy_nuclear_mid,2030,-0,552.315614,0.2166453037361896,-0,SP + Nuclear,Mid
