SCENARIO,Year,GenX.Region,base_TWh,water_heat_TWh,space_heat_TWh,ldev_TWh,mhbev_TWh,dg_TWh,dg_TWh_curtail,Total_TWh
current_policy,2022,MIS_Central,172.05,11.09,29.88,1.68,0,0.71,0,214
current_policy,2022,MIS_East,142.5,1.96,7.21,0.71,0,0.17,0,152.21
current_policy,2022,NY_East,92.88,3.35,11.74,0.47,0,2.11,0,106.33
current_policy,2022,NY_West,48.24,1.18,4.12,0.16,0,0.74,0,52.97
current_policy,2022,PJM_COMD,84.13,3.29,11.23,0.56,0,0.38,0,98.83
current_policy,2022,PJM_Delaware,14.68,0.69,2.65,0.11,0,0.73,0,17.41
current_policy,2022,PJM_Dom,82.95,4.78,14.87,0.64,0,0.19,0,103.05
current_policy,2022,PJM_NJCoast,18.49,0.84,3.69,0.2,0,2.23,0,20.98
current_policy,2022,PJM_NJLand,50.52,1.62,7.1,0.38,0,4.3,0,55.32
current_policy,2022,PJM_PECO,33.58,2.64,6.02,0.31,0,0.24,0,42.33
current_policy,2022,PJM_SMAC,43.26,3.66,12.78,0.48,0,4.04,0,56.14
current_policy,2022,PJM_WEST,278.51,14.72,36.21,2.18,0.01,1.03,0,330.6
current_policy,2022,PJM_WestMAC,67.56,2.61,5.95,0.31,0,0.23,0,76.19
current_policy,2022,SC_TVA,79.65,21.74,60.07,2.81,0.01,0.16,0,164.1
current_policy,2022,SC_VACA,185.98,10.89,26.58,1.2,0,0.75,0,223.92
current_policy,2025,MIS_Central,174.64,11.37,28.86,2.62,0.01,0.77,0,216.73
current_policy,2025,MIS_East,145.95,2.13,7.08,1.09,0,0.17,0,156.08
current_policy,2025,NY_East,96.55,3.63,11.86,1.4,0.01,2.11,0,111.35
current_policy,2025,NY_West,48.1,1.28,4.17,0.49,0,0.74,0,53.29
current_policy,2025,PJM_COMD,84.89,3.51,10.88,0.87,0,0.56,0,99.59
current_policy,2025,PJM_Delaware,14.77,0.73,2.58,0.24,0,0.94,0,17.38
current_policy,2025,PJM_Dom,84.96,4.94,14.35,1.01,0,0.19,0,105.07
current_policy,2025,PJM_NJCoast,18.6,0.92,3.68,0.43,0,2.23,0,21.39
current_policy,2025,PJM_NJLand,50.82,1.76,7.08,0.83,0,4.3,0,56.2
current_policy,2025,PJM_PECO,33.78,2.75,5.9,0.49,0,0.24,0,42.69
current_policy,2025,PJM_SMAC,43.52,3.85,12.48,1.16,0,5.51,0,55.51
current_policy,2025,PJM_WEST,287.81,15.11,34.79,3.43,0.02,1.18,0,339.97
current_policy,2025,PJM_WestMAC,67.96,2.72,5.83,0.48,0,0.23,0,76.76
current_policy,2025,SC_TVA,80.61,21.86,56.82,4.44,0.02,0.16,0,163.58
current_policy,2025,SC_VACA,192.19,10.91,24.85,1.9,0.01,0.75,0,229.11
current_policy,2030,MIS_Central,179.05,12.41,28.53,4.05,0.04,0.83,0,223.24
current_policy,2030,MIS_East,151.88,2.5,7.47,1.68,0.01,0.17,0,163.37
current_policy,2030,NY_East,102.99,4.15,13.49,3.13,0.01,2.11,0,121.68
current_policy,2030,NY_West,47.86,1.46,4.74,1.1,0,0.74,0,54.42
current_policy,2030,PJM_COMD,86.17,4.05,11.22,1.35,0.01,0.74,0,102.06
current_policy,2030,PJM_Delaware,14.92,0.83,2.5,0.27,0,1.16,0,17.37
current_policy,2030,PJM_Dom,88.41,5.52,14.01,1.58,0.01,0.19,0,109.34
current_policy,2030,PJM_NJCoast,18.78,1.05,3.97,0.46,0,2.23,0,22.03
current_policy,2030,PJM_NJLand,51.33,2.02,7.64,0.88,0.01,4.3,0,57.58
current_policy,2030,PJM_PECO,34.12,3,6.36,0.74,0.01,0.24,0,44.01
current_policy,2030,PJM_SMAC,43.95,4.32,12.3,1.18,0.01,7.09,0,54.68
current_policy,2030,PJM_WEST,303.99,16.68,35.12,5.25,0.04,1.33,0,359.75
current_policy,2030,PJM_WestMAC,68.65,2.97,6.29,0.73,0.01,0.23,0,78.41
current_policy,2030,SC_TVA,82.23,23.5,53.94,6.98,0.05,0.16,0,166.54
current_policy,2030,SC_VACA,202.99,11.69,23.6,2.98,0.02,0.75,0,240.54
current_policy,2040,MIS_Central,188.21,13.35,31.56,6.25,0.18,0.84,0,238.7
