Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,Capacity,Charging Capacity,Energy Capacity,Capacity Expansion,Energy Capacity Expansion,Charging Capacity Expansion,Capacity Retirement,Energy Capacity Retirement,Charging Capacity Retirement
WECC,currentpolicy_10ci_nocip,2030,Nuclear,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_nocip,2030,Offshore Wind,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_nocip,2030,Onshore Wind,"10% CI Part., Curt. Tech.",No 24x7 Purchase,6063.2,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_nocip,2030,Pumped hydro,"10% CI Part., Curt. Tech.",No 24x7 Purchase,3425.4,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_nocip,2030,Utility Solar,"10% CI Part., Curt. Tech.",No 24x7 Purchase,26469.73,0,0,14162.63,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Battery,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Biomass,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Gas CC,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,17955.702,0,0,0.002,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Gas CC w/CCS,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Gas CT,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Geothermal,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,1236.513,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Hydro,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Nuclear,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Offshore Wind,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Onshore Wind,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,6063.2,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Pumped hydro,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,3425.4,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip,2030,Utility Solar,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,26469.711,0,0,14162.611,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Battery,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Biomass,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CC,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,17955.701,0,0,0.001,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CT,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Geothermal,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1236.513,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Hydro,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Nuclear,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Offshore Wind,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Onshore Wind,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,6063.2,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Pumped hydro,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,3425.4,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Utility Solar,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,26469.711,0,0,14162.611,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Battery,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Biomass,"25% CI Part., Curt. Tech.",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Gas CC,"25% CI Part., Curt. Tech.",No 24x7 Purchase,17955.702,0,0,0.002,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Gas CC w/CCS,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Gas CT,"25% CI Part., Curt. Tech.",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Geothermal,"25% CI Part., Curt. Tech.",No 24x7 Purchase,1236.513,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Hydro,"25% CI Part., Curt. Tech.",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Nuclear,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Offshore Wind,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Onshore Wind,"25% CI Part., Curt. Tech.",No 24x7 Purchase,6063.2,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Pumped hydro,"25% CI Part., Curt. Tech.",No 24x7 Purchase,3425.4,0,0,0,0,0,0,0,0
WECC,currentpolicy_25ci_nocip,2030,Utility Solar,"25% CI Part., Curt. Tech.",No 24x7 Purchase,26469.735,0,0,14162.635,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Battery,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Biomass,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Gas CC,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,17955.703,0,0,0.003,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Gas CC w/CCS,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Gas CT,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Geothermal,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,1236.513,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Hydro,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Nuclear,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Offshore Wind,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Onshore Wind,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,6063.2,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Pumped hydro,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,3425.4,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip,2030,Utility Solar,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,26469.711,0,0,14162.611,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Battery,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Biomass,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CC,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,17955.703,0,0,0.003,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CT,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Geothermal,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1236.513,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Hydro,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Nuclear,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
