case,year,Scenario,TechSensitivity,nonsrec_capacity_revenue
statedpolicy_dgsolar_instaterps_nointertrans,2040,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,17964199.434360124
statedpolicy_dgsolar_instaterps_nointertrans,2050,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,12816908.381661901
statedpolicy_dgsolar_lowngcost,2030,SP + High Solar,Low NatGas Price,20816567.672027618
statedpolicy_dgsolar_lowngcost,2040,SP + High Solar,Low NatGas Price,9223418.901049364
statedpolicy_dgsolar_lowngcost,2050,SP + High Solar,Low NatGas Price,10186799.084895926
statedpolicy_dgsolar_lowrecost,2030,SP + High Solar,Low RE/BESS Cost,2410732.7221062696
statedpolicy_dgsolar_lowrecost,2040,SP + High Solar,Low RE/BESS Cost,4661094.744753256
statedpolicy_dgsolar_lowrecost,2050,SP + High Solar,Low RE/BESS Cost,3561607.3591257897
statedpolicy_dgsolar_mid,2030,SP + High Solar,Mid,5186516.343120277
statedpolicy_dgsolar_mid,2040,SP + High Solar,Mid,8855874.528307285
statedpolicy_dgsolar_mid,2050,SP + High Solar,Mid,3401209.023410471
statedpolicy_dgsolar_noflexibleload,2030,SP + High Solar,No Flexible Load,3678736.7553634765
statedpolicy_dgsolar_noflexibleload,2040,SP + High Solar,No Flexible Load,15500443.13862713
statedpolicy_dgsolar_noflexibleload,2050,SP + High Solar,No Flexible Load,20355908.99352272
statedpolicy_dgsolar_nointertrans,2030,SP + High Solar,No Interregional Transmission Upgrade,7863918.977896613
statedpolicy_dgsolar_nointertrans,2040,SP + High Solar,No Interregional Transmission Upgrade,17989841.403845146
statedpolicy_dgsolar_nointertrans,2050,SP + High Solar,No Interregional Transmission Upgrade,11779342.898238765
statedpolicy_dgsolar_nuclear_doublezcfcost,2030,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,5186516.343120277
statedpolicy_dgsolar_nuclear_doublezcfcost,2040,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,10293803.419913404
statedpolicy_dgsolar_nuclear_doublezcfcost,2050,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,7762937.588610228
statedpolicy_dgsolar_nuclear_highngcost,2030,SP + High Solar + Nuclear,High NatGas Price,2752076.5833707512
statedpolicy_dgsolar_nuclear_highngcost,2040,SP + High Solar + Nuclear,High NatGas Price,6188765.169011845
statedpolicy_dgsolar_nuclear_highngcost,2050,SP + High Solar + Nuclear,High NatGas Price,3853977.386564805
statedpolicy_dgsolar_nuclear_highrecost,2030,SP + High Solar + Nuclear,High RE/BESS Cost,26042643.631731693
statedpolicy_dgsolar_nuclear_highrecost,2040,SP + High Solar + Nuclear,High RE/BESS Cost,14817832.621339444
statedpolicy_dgsolar_nuclear_highrecost,2050,SP + High Solar + Nuclear,High RE/BESS Cost,10402701.639716908
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2030,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,5186824.438744383
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2040,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,10294027.632724363
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2050,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,7954845.13765786
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2030,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,2752051.972011172
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2040,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,6188837.640062243
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2050,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,3823483.6276042433
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2030,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,26042725.2063531
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2040,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,14817806.55388219
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2050,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,10433317.892002221
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2030,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,20815889.488262556
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2040,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,9889331.025015067
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2050,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,10479951.264965193
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2030,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,2410744.29096611
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2040,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,4184058.856765363
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2050,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,3815146.172027761
statedpolicy_dgsolar_nuclear_instaterps_mid,2030,SP + High Solar + Nuclear + 80% Instate,Mid,5186824.438744383
statedpolicy_dgsolar_nuclear_instaterps_mid,2040,SP + High Solar + Nuclear + 80% Instate,Mid,8474591.311018199
statedpolicy_dgsolar_nuclear_instaterps_mid,2050,SP + High Solar + Nuclear + 80% Instate,Mid,3969987.040908982
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2030,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,3679027.0099807014
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2040,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,16783138.00965438
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2050,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,21277390.08827086
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2030,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,7863915.962441307
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2040,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,18028954.328878187
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2050,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,13414437.84206491
statedpolicy_dgsolar_nuclear_lowngcost,2030,SP + High Solar + Nuclear,Low NatGas Price,20816567.672027618
statedpolicy_dgsolar_nuclear_lowngcost,2040,SP + High Solar + Nuclear,Low NatGas Price,9889364.231486646
statedpolicy_dgsolar_nuclear_lowngcost,2050,SP + High Solar + Nuclear,Low NatGas Price,10471300.204579946
statedpolicy_dgsolar_nuclear_lowrecost,2030,SP + High Solar + Nuclear,Low RE/BESS Cost,2410734.4579596724
statedpolicy_dgsolar_nuclear_lowrecost,2040,SP + High Solar + Nuclear,Low RE/BESS Cost,4184047.846595376
statedpolicy_dgsolar_nuclear_lowrecost,2050,SP + High Solar + Nuclear,Low RE/BESS Cost,3772141.803028928
statedpolicy_dgsolar_nuclear_mid,2030,SP + High Solar + Nuclear,Mid,5186516.343120277
statedpolicy_dgsolar_nuclear_mid,2040,SP + High Solar + Nuclear,Mid,8474590.116992917
statedpolicy_dgsolar_nuclear_mid,2050,SP + High Solar + Nuclear,Mid,3974066.1686716517
statedpolicy_dgsolar_nuclear_noflexibleload,2030,SP + High Solar + Nuclear,No Flexible Load,3678736.7553634765
statedpolicy_dgsolar_nuclear_noflexibleload,2040,SP + High Solar + Nuclear,No Flexible Load,16782910.051374633
statedpolicy_dgsolar_nuclear_noflexibleload,2050,SP + High Solar + Nuclear,No Flexible Load,21272475.291376837
statedpolicy_dgsolar_nuclear_nointertrans,2030,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,7863918.977896613
statedpolicy_dgsolar_nuclear_nointertrans,2040,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,18028952.02880843
statedpolicy_dgsolar_nuclear_nointertrans,2050,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,13632348.200092409
statedpolicy_doublezcfcost,2030,Stated Policy (SP),Doubled ZCF Fuel Price,2576707.536900728
statedpolicy_doublezcfcost,2040,Stated Policy (SP),Doubled ZCF Fuel Price,3216849.1830617813
statedpolicy_doublezcfcost,2050,Stated Policy (SP),Doubled ZCF Fuel Price,1120848.222103139
statedpolicy_highngcost,2030,Stated Policy (SP),High NatGas Price,1500284.4678848993
statedpolicy_highngcost,2040,Stated Policy (SP),High NatGas Price,1602205.7233553566
statedpolicy_highngcost,2050,Stated Policy (SP),High NatGas Price,632841.620285261
statedpolicy_highrecost,2030,Stated Policy (SP),High RE/BESS Cost,13312244.486887071
statedpolicy_highrecost,2040,Stated Policy (SP),High RE/BESS Cost,3233152.1250037546
statedpolicy_highrecost,2050,Stated Policy (SP),High RE/BESS Cost,1351523.3338981187
statedpolicy_instaterps_doublezcfcost,2030,SP + 80% Instate,Doubled ZCF Fuel Price,2576766.0213479227
statedpolicy_instaterps_doublezcfcost,2040,SP + 80% Instate,Doubled ZCF Fuel Price,2756089.8947013635
statedpolicy_instaterps_doublezcfcost,2050,SP + 80% Instate,Doubled ZCF Fuel Price,1166750.3756730664
statedpolicy_instaterps_highngcost,2030,SP + 80% Instate,High NatGas Price,1500274.8906449745
statedpolicy_instaterps_highngcost,2040,SP + 80% Instate,High NatGas Price,1551548.0690526292
statedpolicy_instaterps_highngcost,2050,SP + 80% Instate,High NatGas Price,551826.9149580754
statedpolicy_instaterps_highrecost,2030,SP + 80% Instate,High RE/BESS Cost,13312328.284795722
statedpolicy_instaterps_highrecost,2040,SP + 80% Instate,High RE/BESS Cost,3102382.983084861
statedpolicy_instaterps_highrecost,2050,SP + 80% Instate,High RE/BESS Cost,1134530.5903003493
statedpolicy_instaterps_lowngcost,2030,SP + 80% Instate,Low NatGas Price,10249208.797694255
statedpolicy_instaterps_lowngcost,2040,SP + 80% Instate,Low NatGas Price,1969503.089252235
statedpolicy_instaterps_lowngcost,2050,SP + 80% Instate,Low NatGas Price,1418616.0118324133
statedpolicy_instaterps_lowrecost,2030,SP + 80% Instate,Low RE/BESS Cost,1680618.7200537107
statedpolicy_instaterps_lowrecost,2040,SP + 80% Instate,Low RE/BESS Cost,1105755.9552691416
statedpolicy_instaterps_lowrecost,2050,SP + 80% Instate,Low RE/BESS Cost,644052.7759230642
statedpolicy_instaterps_mid,2030,SP + 80% Instate,Mid,2576766.0213479227
statedpolicy_instaterps_mid,2040,SP + 80% Instate,Mid,2060073.6639201976
statedpolicy_instaterps_mid,2050,SP + 80% Instate,Mid,605375.7617879354
statedpolicy_instaterps_noflexibleload,2030,SP + 80% Instate,No Flexible Load,2331252.290189889
statedpolicy_instaterps_noflexibleload,2040,SP + 80% Instate,No Flexible Load,3907425.7721157856
statedpolicy_instaterps_noflexibleload,2050,SP + 80% Instate,No Flexible Load,889337.8037209194
statedpolicy_instaterps_nointertrans,2030,SP + 80% Instate,No Interregional Transmission Upgrade,5621432.867844241
statedpolicy_instaterps_nointertrans,2040,SP + 80% Instate,No Interregional Transmission Upgrade,3654114.415007606
statedpolicy_instaterps_nointertrans,2050,SP + 80% Instate,No Interregional Transmission Upgrade,2096323.1900307373
statedpolicy_lowngcost,2030,Stated Policy (SP),Low NatGas Price,10249242.912053416
statedpolicy_lowngcost,2040,Stated Policy (SP),Low NatGas Price,2276238.8714105785
statedpolicy_lowngcost,2050,Stated Policy (SP),Low NatGas Price,1539084.4946209681
statedpolicy_lowrecost,2030,Stated Policy (SP),Low RE/BESS Cost,1680580.9074825216
statedpolicy_lowrecost,2040,Stated Policy (SP),Low RE/BESS Cost,1319694.467416048
statedpolicy_lowrecost,2050,Stated Policy (SP),Low RE/BESS Cost,463476.37555836537
statedpolicy_mid,2030,Stated Policy (SP),Mid,2576707.536900728
statedpolicy_mid,2040,Stated Policy (SP),Mid,2211599.9642138286
statedpolicy_mid,2050,Stated Policy (SP),Mid,622851.7544708698
statedpolicy_noflexibleload,2030,Stated Policy (SP),No Flexible Load,2331281.9276422523
statedpolicy_noflexibleload,2040,Stated Policy (SP),No Flexible Load,4022158.4409730304
statedpolicy_noflexibleload,2050,Stated Policy (SP),No Flexible Load,890290.0368566094
statedpolicy_nointertrans,2030,Stated Policy (SP),No Interregional Transmission Upgrade,5621371.118054621
statedpolicy_nointertrans,2040,Stated Policy (SP),No Interregional Transmission Upgrade,3987954.237843096
statedpolicy_nointertrans,2050,Stated Policy (SP),No Interregional Transmission Upgrade,2018362.5891165966
statedpolicy_nuclear_doublezcfcost,2030,SP + Nuclear,Doubled ZCF Fuel Price,2576707.536900728
statedpolicy_nuclear_doublezcfcost,2040,SP + Nuclear,Doubled ZCF Fuel Price,3146904.8495922913
statedpolicy_nuclear_doublezcfcost,2050,SP + Nuclear,Doubled ZCF Fuel Price,1483306.6516516018
statedpolicy_nuclear_highngcost,2030,SP + Nuclear,High NatGas Price,1500284.4678848993
statedpolicy_nuclear_highngcost,2040,SP + Nuclear,High NatGas Price,1731546.981376047
statedpolicy_nuclear_highngcost,2050,SP + Nuclear,High NatGas Price,797355.6318734959
statedpolicy_nuclear_highrecost,2030,SP + Nuclear,High RE/BESS Cost,13312139.54894453
statedpolicy_nuclear_highrecost,2040,SP + Nuclear,High RE/BESS Cost,3492086.253558443
statedpolicy_nuclear_highrecost,2050,SP + Nuclear,High RE/BESS Cost,1365406.713563797
statedpolicy_nuclear_instaterps_doublezcfcost,2030,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,2576766.0213479227
statedpolicy_nuclear_instaterps_doublezcfcost,2040,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,2341705.154741169
statedpolicy_nuclear_instaterps_doublezcfcost,2050,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,1291422.5916061238
statedpolicy_nuclear_instaterps_highngcost,2030,SP + Nuclear + 80% Instate,High NatGas Price,1500274.8906449745
statedpolicy_nuclear_instaterps_highngcost,2040,SP + Nuclear + 80% Instate,High NatGas Price,1656988.7143537404
statedpolicy_nuclear_instaterps_highngcost,2050,SP + Nuclear + 80% Instate,High NatGas Price,562420.0316126706
statedpolicy_nuclear_instaterps_highrecost,2030,SP + Nuclear + 80% Instate,High RE/BESS Cost,13312328.284795722
statedpolicy_nuclear_instaterps_highrecost,2040,SP + Nuclear + 80% Instate,High RE/BESS Cost,3220292.0161393937
statedpolicy_nuclear_instaterps_highrecost,2050,SP + Nuclear + 80% Instate,High RE/BESS Cost,1333244.4692648507
statedpolicy_nuclear_instaterps_lowngcost,2030,SP + Nuclear + 80% Instate,Low NatGas Price,10249208.797694255
statedpolicy_nuclear_instaterps_lowngcost,2040,SP + Nuclear + 80% Instate,Low NatGas Price,2132788.4875221215
statedpolicy_nuclear_instaterps_lowngcost,2050,SP + Nuclear + 80% Instate,Low NatGas Price,1535459.456377015
statedpolicy_nuclear_instaterps_lowrecost,2030,SP + Nuclear + 80% Instate,Low RE/BESS Cost,1680532.94835378
statedpolicy_nuclear_instaterps_lowrecost,2040,SP + Nuclear + 80% Instate,Low RE/BESS Cost,1094590.9214168272
statedpolicy_nuclear_instaterps_lowrecost,2050,SP + Nuclear + 80% Instate,Low RE/BESS Cost,593302.8898121199
statedpolicy_nuclear_instaterps_mid,2030,SP + Nuclear + 80% Instate,Mid,2576766.0213479227
statedpolicy_nuclear_instaterps_mid,2040,SP + Nuclear + 80% Instate,Mid,2037326.2134654503
statedpolicy_nuclear_instaterps_mid,2050,SP + Nuclear + 80% Instate,Mid,537163.4360471657
statedpolicy_nuclear_instaterps_noflexibleload,2030,SP + Nuclear + 80% Instate,No Flexible Load,2331252.290189889
statedpolicy_nuclear_instaterps_noflexibleload,2040,SP + Nuclear + 80% Instate,No Flexible Load,3955050.95137021
statedpolicy_nuclear_instaterps_noflexibleload,2050,SP + Nuclear + 80% Instate,No Flexible Load,891242.0065064551
statedpolicy_nuclear_instaterps_nointertrans,2030,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,5621432.867844241
statedpolicy_nuclear_instaterps_nointertrans,2040,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,3572850.9390501464
statedpolicy_nuclear_instaterps_nointertrans,2050,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,2144463.8911020216
statedpolicy_nuclear_lowngcost,2030,SP + Nuclear,Low NatGas Price,10249242.912053416
statedpolicy_nuclear_lowngcost,2040,SP + Nuclear,Low NatGas Price,2377551.516926965
statedpolicy_nuclear_lowngcost,2050,SP + Nuclear,Low NatGas Price,1583795.5651374748
statedpolicy_nuclear_lowrecost,2030,SP + Nuclear,Low RE/BESS Cost,1680580.9074825216
statedpolicy_nuclear_lowrecost,2040,SP + Nuclear,Low RE/BESS Cost,1392710.9658416696
statedpolicy_nuclear_lowrecost,2050,SP + Nuclear,Low RE/BESS Cost,500796.6846140491
statedpolicy_nuclear_mid,2030,SP + Nuclear,Mid,2576707.536900728
statedpolicy_nuclear_mid,2040,SP + Nuclear,Mid,2188799.1014143857
statedpolicy_nuclear_mid,2050,SP + Nuclear,Mid,666358.9816909311
statedpolicy_nuclear_noflexibleload,2030,SP + Nuclear,No Flexible Load,2331281.9276422523
statedpolicy_nuclear_noflexibleload,2040,SP + Nuclear,No Flexible Load,4095579.1925550546
statedpolicy_nuclear_noflexibleload,2050,SP + Nuclear,No Flexible Load,948307.3236497138
statedpolicy_nuclear_nointertrans,2030,SP + Nuclear,No Interregional Transmission Upgrade,5621371.118054621
statedpolicy_nuclear_nointertrans,2040,SP + Nuclear,No Interregional Transmission Upgrade,3992647.5864998526
statedpolicy_nuclear_nointertrans,2050,SP + Nuclear,No Interregional Transmission Upgrade,2482845.7817263324
