case,year,Fuel,Scenario,TechSensitivity,Total Subsidy
statedpolicy_dgsolar_nuclear_doublezcfcost,2040,Offshore Wind,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,38.02
statedpolicy_dgsolar_nuclear_doublezcfcost,2040,Utility Solar,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,7.19
statedpolicy_dgsolar_nuclear_doublezcfcost,2050,Nuclear,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,0
statedpolicy_dgsolar_nuclear_doublezcfcost,2050,Offshore Wind,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,21.81
statedpolicy_dgsolar_nuclear_doublezcfcost,2050,Utility Solar,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,2.55
statedpolicy_dgsolar_nuclear_highngcost,2030,Nuclear,SP + High Solar + Nuclear,High NatGas Price,2.79
statedpolicy_dgsolar_nuclear_highngcost,2030,Offshore Wind,SP + High Solar + Nuclear,High NatGas Price,36.47
statedpolicy_dgsolar_nuclear_highngcost,2030,Utility Solar,SP + High Solar + Nuclear,High NatGas Price,6.59
statedpolicy_dgsolar_nuclear_highngcost,2040,Nuclear,SP + High Solar + Nuclear,High NatGas Price,1.76
statedpolicy_dgsolar_nuclear_highngcost,2040,Offshore Wind,SP + High Solar + Nuclear,High NatGas Price,32.78
statedpolicy_dgsolar_nuclear_highngcost,2040,Utility Solar,SP + High Solar + Nuclear,High NatGas Price,7.16
statedpolicy_dgsolar_nuclear_highngcost,2050,Nuclear,SP + High Solar + Nuclear,High NatGas Price,0
statedpolicy_dgsolar_nuclear_highngcost,2050,Offshore Wind,SP + High Solar + Nuclear,High NatGas Price,21.8
statedpolicy_dgsolar_nuclear_highngcost,2050,Utility Solar,SP + High Solar + Nuclear,High NatGas Price,6.3
statedpolicy_dgsolar_nuclear_highrecost,2030,Nuclear,SP + High Solar + Nuclear,High RE/BESS Cost,8.78
statedpolicy_dgsolar_nuclear_highrecost,2030,Offshore Wind,SP + High Solar + Nuclear,High RE/BESS Cost,55.45
statedpolicy_dgsolar_nuclear_highrecost,2030,Utility Solar,SP + High Solar + Nuclear,High RE/BESS Cost,13.28
statedpolicy_dgsolar_nuclear_highrecost,2040,Nuclear,SP + High Solar + Nuclear,High RE/BESS Cost,6.67
statedpolicy_dgsolar_nuclear_highrecost,2040,Offshore Wind,SP + High Solar + Nuclear,High RE/BESS Cost,63.8
statedpolicy_dgsolar_nuclear_highrecost,2040,Utility Solar,SP + High Solar + Nuclear,High RE/BESS Cost,14.87
statedpolicy_dgsolar_nuclear_highrecost,2050,Nuclear,SP + High Solar + Nuclear,High RE/BESS Cost,2.11
statedpolicy_dgsolar_nuclear_highrecost,2050,Offshore Wind,SP + High Solar + Nuclear,High RE/BESS Cost,55.59
statedpolicy_dgsolar_nuclear_highrecost,2050,Utility Solar,SP + High Solar + Nuclear,High RE/BESS Cost,9.72
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2030,Nuclear,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,8.78
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2030,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,42.21
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2030,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,9.53
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2040,Nuclear,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,7.34
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2040,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,38.02
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2040,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,7.19
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2050,Nuclear,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,0
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2050,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,22.75
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2050,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,4.74
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2030,Nuclear,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,2.79
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2030,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,36.47
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2030,Utility Solar,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,6.59
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2040,Nuclear,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,1.76
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2040,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,32.78
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2040,Utility Solar,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,7.16
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2050,Nuclear,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,0
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2050,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,21.28
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2050,Utility Solar,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,6.16
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2030,Nuclear,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,8.78
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2030,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,55.45
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2030,Utility Solar,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,13.28
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2040,Nuclear,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,6.67
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2040,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,63.79
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2040,Utility Solar,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,14.87
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2050,Nuclear,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,2.41
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2050,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,55.68
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2050,Utility Solar,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,10.44
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2030,Nuclear,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,12.12
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2030,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,45.64
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2030,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,11.75
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2040,Nuclear,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,11.55
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2040,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,42.64
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2040,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,11.15
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2050,Nuclear,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,7.75
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2050,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,31.16
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2050,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,10.09
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2030,Nuclear,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,8.84
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2030,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,35.8
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2030,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,7.94
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2040,Nuclear,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,8.94
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2040,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,27.04
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2040,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,5.68
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2050,Nuclear,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,6.02
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2050,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,15.22
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2050,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,3.14
statedpolicy_dgsolar_nuclear_instaterps_mid,2030,Nuclear,SP + High Solar + Nuclear + 80% Instate,Mid,8.78
statedpolicy_dgsolar_nuclear_instaterps_mid,2030,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Mid,42.21
statedpolicy_dgsolar_nuclear_instaterps_mid,2030,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Mid,9.53
statedpolicy_dgsolar_nuclear_instaterps_mid,2040,Nuclear,SP + High Solar + Nuclear + 80% Instate,Mid,7.39
statedpolicy_dgsolar_nuclear_instaterps_mid,2040,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Mid,38.12
statedpolicy_dgsolar_nuclear_instaterps_mid,2040,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Mid,7.49
statedpolicy_dgsolar_nuclear_instaterps_mid,2050,Nuclear,SP + High Solar + Nuclear + 80% Instate,Mid,3.03
statedpolicy_dgsolar_nuclear_instaterps_mid,2050,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,Mid,27.82
statedpolicy_dgsolar_nuclear_instaterps_mid,2050,Utility Solar,SP + High Solar + Nuclear + 80% Instate,Mid,6.65
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2030,Nuclear,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,8.61
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2030,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,41.73
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2030,Utility Solar,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,9.84
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2040,Nuclear,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,7.4
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2040,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,38.16
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2040,Utility Solar,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,7.88
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2050,Nuclear,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,5.45
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2050,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,26.89
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2050,Utility Solar,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,6.57
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2030,Nuclear,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,9.2
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2030,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,42.51
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2030,Utility Solar,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,9.64
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2040,Nuclear,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,8.15
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2040,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,37.32
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2040,Utility Solar,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,6.4
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2050,Nuclear,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,6.37
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2050,Offshore Wind,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,28.11
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2050,Utility Solar,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,4.69
statedpolicy_dgsolar_nuclear_lowngcost,2030,Nuclear,SP + High Solar + Nuclear,Low NatGas Price,12.12
statedpolicy_dgsolar_nuclear_lowngcost,2030,Offshore Wind,SP + High Solar + Nuclear,Low NatGas Price,45.64
statedpolicy_dgsolar_nuclear_lowngcost,2030,Utility Solar,SP + High Solar + Nuclear,Low NatGas Price,11.75
statedpolicy_dgsolar_nuclear_lowngcost,2040,Nuclear,SP + High Solar + Nuclear,Low NatGas Price,11.55
statedpolicy_dgsolar_nuclear_lowngcost,2040,Offshore Wind,SP + High Solar + Nuclear,Low NatGas Price,42.64
statedpolicy_dgsolar_nuclear_lowngcost,2040,Utility Solar,SP + High Solar + Nuclear,Low NatGas Price,11.15
statedpolicy_dgsolar_nuclear_lowngcost,2050,Nuclear,SP + High Solar + Nuclear,Low NatGas Price,7.55
statedpolicy_dgsolar_nuclear_lowngcost,2050,Offshore Wind,SP + High Solar + Nuclear,Low NatGas Price,30.73
statedpolicy_dgsolar_nuclear_lowngcost,2050,Utility Solar,SP + High Solar + Nuclear,Low NatGas Price,8.89
statedpolicy_dgsolar_nuclear_lowrecost,2030,Nuclear,SP + High Solar + Nuclear,Low RE/BESS Cost,8.84
statedpolicy_dgsolar_nuclear_lowrecost,2030,Offshore Wind,SP + High Solar + Nuclear,Low RE/BESS Cost,35.8
statedpolicy_dgsolar_nuclear_lowrecost,2030,Utility Solar,SP + High Solar + Nuclear,Low RE/BESS Cost,7.94
statedpolicy_dgsolar_nuclear_lowrecost,2040,Nuclear,SP + High Solar + Nuclear,Low RE/BESS Cost,8.94
statedpolicy_dgsolar_nuclear_lowrecost,2040,Offshore Wind,SP + High Solar + Nuclear,Low RE/BESS Cost,27.04
statedpolicy_dgsolar_nuclear_lowrecost,2040,Utility Solar,SP + High Solar + Nuclear,Low RE/BESS Cost,5.68
statedpolicy_dgsolar_nuclear_lowrecost,2050,Nuclear,SP + High Solar + Nuclear,Low RE/BESS Cost,5.86
statedpolicy_dgsolar_nuclear_lowrecost,2050,Offshore Wind,SP + High Solar + Nuclear,Low RE/BESS Cost,15.07
statedpolicy_dgsolar_nuclear_lowrecost,2050,Utility Solar,SP + High Solar + Nuclear,Low RE/BESS Cost,2.31
statedpolicy_dgsolar_nuclear_mid,2030,Nuclear,SP + High Solar + Nuclear,Mid,8.78
statedpolicy_dgsolar_nuclear_mid,2030,Offshore Wind,SP + High Solar + Nuclear,Mid,42.21
statedpolicy_dgsolar_nuclear_mid,2030,Utility Solar,SP + High Solar + Nuclear,Mid,9.53
statedpolicy_dgsolar_nuclear_mid,2040,Nuclear,SP + High Solar + Nuclear,Mid,7.39
statedpolicy_dgsolar_nuclear_mid,2040,Offshore Wind,SP + High Solar + Nuclear,Mid,38.12
statedpolicy_dgsolar_nuclear_mid,2040,Utility Solar,SP + High Solar + Nuclear,Mid,7.49
statedpolicy_dgsolar_nuclear_mid,2050,Nuclear,SP + High Solar + Nuclear,Mid,2.84
statedpolicy_dgsolar_nuclear_mid,2050,Offshore Wind,SP + High Solar + Nuclear,Mid,27.49
statedpolicy_dgsolar_nuclear_mid,2050,Utility Solar,SP + High Solar + Nuclear,Mid,6.29
statedpolicy_dgsolar_nuclear_noflexibleload,2030,Nuclear,SP + High Solar + Nuclear,No Flexible Load,8.61
statedpolicy_dgsolar_nuclear_noflexibleload,2030,Offshore Wind,SP + High Solar + Nuclear,No Flexible Load,41.73
statedpolicy_dgsolar_nuclear_noflexibleload,2030,Utility Solar,SP + High Solar + Nuclear,No Flexible Load,9.84
statedpolicy_dgsolar_nuclear_noflexibleload,2040,Nuclear,SP + High Solar + Nuclear,No Flexible Load,7.4
statedpolicy_dgsolar_nuclear_noflexibleload,2040,Offshore Wind,SP + High Solar + Nuclear,No Flexible Load,38.16
statedpolicy_dgsolar_nuclear_noflexibleload,2040,Utility Solar,SP + High Solar + Nuclear,No Flexible Load,7.88
statedpolicy_dgsolar_nuclear_noflexibleload,2050,Nuclear,SP + High Solar + Nuclear,No Flexible Load,5.24
statedpolicy_dgsolar_nuclear_noflexibleload,2050,Offshore Wind,SP + High Solar + Nuclear,No Flexible Load,26.42
statedpolicy_dgsolar_nuclear_noflexibleload,2050,Utility Solar,SP + High Solar + Nuclear,No Flexible Load,5.71
statedpolicy_dgsolar_nuclear_nointertrans,2030,Nuclear,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,9.2
statedpolicy_dgsolar_nuclear_nointertrans,2030,Offshore Wind,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,42.51
statedpolicy_dgsolar_nuclear_nointertrans,2030,Utility Solar,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,9.64
statedpolicy_dgsolar_nuclear_nointertrans,2040,Nuclear,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,8.15
statedpolicy_dgsolar_nuclear_nointertrans,2040,Offshore Wind,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,37.32
statedpolicy_dgsolar_nuclear_nointertrans,2040,Utility Solar,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,6.4
statedpolicy_dgsolar_nuclear_nointertrans,2050,Nuclear,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,6.21
statedpolicy_dgsolar_nuclear_nointertrans,2050,Offshore Wind,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,28.12
statedpolicy_dgsolar_nuclear_nointertrans,2050,Utility Solar,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,4.28
statedpolicy_instaterps_doublezcfcost,2030,Nuclear,SP + 80% Instate,Doubled ZCF Fuel Price,8.57
statedpolicy_instaterps_doublezcfcost,2030,Offshore Wind,SP + 80% Instate,Doubled ZCF Fuel Price,41.94
statedpolicy_instaterps_doublezcfcost,2030,Utility Solar,SP + 80% Instate,Doubled ZCF Fuel Price,8.06
statedpolicy_instaterps_doublezcfcost,2040,Nuclear,SP + 80% Instate,Doubled ZCF Fuel Price,6.05
statedpolicy_instaterps_doublezcfcost,2040,Offshore Wind,SP + 80% Instate,Doubled ZCF Fuel Price,36.47
statedpolicy_instaterps_doublezcfcost,2040,Utility Solar,SP + 80% Instate,Doubled ZCF Fuel Price,7.09
statedpolicy_instaterps_doublezcfcost,2050,Nuclear,SP + 80% Instate,Doubled ZCF Fuel Price,23.83
statedpolicy_instaterps_doublezcfcost,2050,Offshore Wind,SP + 80% Instate,Doubled ZCF Fuel Price,35.9
statedpolicy_instaterps_doublezcfcost,2050,Utility Solar,SP + 80% Instate,Doubled ZCF Fuel Price,35.9
statedpolicy_instaterps_highngcost,2030,Nuclear,SP + 80% Instate,High NatGas Price,2.64
statedpolicy_instaterps_highngcost,2030,Offshore Wind,SP + 80% Instate,High NatGas Price,36.22
statedpolicy_instaterps_highngcost,2030,Utility Solar,SP + 80% Instate,High NatGas Price,4.83
statedpolicy_instaterps_highngcost,2040,Nuclear,SP + 80% Instate,High NatGas Price,1.15
statedpolicy_instaterps_highngcost,2040,Offshore Wind,SP + 80% Instate,High NatGas Price,31.67
statedpolicy_instaterps_highngcost,2040,Utility Solar,SP + 80% Instate,High NatGas Price,6.85
statedpolicy_instaterps_highngcost,2050,Nuclear,SP + 80% Instate,High NatGas Price,22.54
statedpolicy_instaterps_highngcost,2050,Offshore Wind,SP + 80% Instate,High NatGas Price,29.81
statedpolicy_instaterps_highngcost,2050,Utility Solar,SP + 80% Instate,High NatGas Price,29.81
statedpolicy_instaterps_highrecost,2030,Nuclear,SP + 80% Instate,High RE/BESS Cost,8.49
statedpolicy_instaterps_highrecost,2030,Offshore Wind,SP + 80% Instate,High RE/BESS Cost,55.16
statedpolicy_instaterps_highrecost,2030,Utility Solar,SP + 80% Instate,High RE/BESS Cost,11.25
statedpolicy_instaterps_highrecost,2040,Nuclear,SP + 80% Instate,High RE/BESS Cost,5.5
statedpolicy_instaterps_highrecost,2040,Offshore Wind,SP + 80% Instate,High RE/BESS Cost,62.91
statedpolicy_instaterps_highrecost,2040,Utility Solar,SP + 80% Instate,High RE/BESS Cost,16.1
statedpolicy_instaterps_highrecost,2050,Nuclear,SP + 80% Instate,High RE/BESS Cost,27.1
statedpolicy_instaterps_highrecost,2050,Offshore Wind,SP + 80% Instate,High RE/BESS Cost,70.54
statedpolicy_instaterps_highrecost,2050,Utility Solar,SP + 80% Instate,High RE/BESS Cost,70.54
statedpolicy_instaterps_lowngcost,2030,Nuclear,SP + 80% Instate,Low NatGas Price,11.86
statedpolicy_instaterps_lowngcost,2030,Offshore Wind,SP + 80% Instate,Low NatGas Price,45.21
statedpolicy_instaterps_lowngcost,2030,Utility Solar,SP + 80% Instate,Low NatGas Price,10.13
statedpolicy_instaterps_lowngcost,2040,Nuclear,SP + 80% Instate,Low NatGas Price,10.63
statedpolicy_instaterps_lowngcost,2040,Offshore Wind,SP + 80% Instate,Low NatGas Price,42.09
statedpolicy_instaterps_lowngcost,2040,Utility Solar,SP + 80% Instate,Low NatGas Price,13.6
statedpolicy_instaterps_lowngcost,2050,Nuclear,SP + 80% Instate,Low NatGas Price,33.44
statedpolicy_instaterps_lowngcost,2050,Offshore Wind,SP + 80% Instate,Low NatGas Price,42.05
statedpolicy_instaterps_lowngcost,2050,Utility Solar,SP + 80% Instate,Low NatGas Price,42.05
statedpolicy_instaterps_lowrecost,2030,Nuclear,SP + 80% Instate,Low RE/BESS Cost,8.58
statedpolicy_instaterps_lowrecost,2030,Offshore Wind,SP + 80% Instate,Low RE/BESS Cost,35.53
statedpolicy_instaterps_lowrecost,2030,Utility Solar,SP + 80% Instate,Low RE/BESS Cost,6.4
statedpolicy_instaterps_lowrecost,2040,Nuclear,SP + 80% Instate,Low RE/BESS Cost,7.83
statedpolicy_instaterps_lowrecost,2040,Offshore Wind,SP + 80% Instate,Low RE/BESS Cost,26.53
statedpolicy_instaterps_lowrecost,2040,Utility Solar,SP + 80% Instate,Low RE/BESS Cost,7.83
statedpolicy_instaterps_lowrecost,2050,Nuclear,SP + 80% Instate,Low RE/BESS Cost,30.76
statedpolicy_instaterps_lowrecost,2050,Offshore Wind,SP + 80% Instate,Low RE/BESS Cost,30.76
statedpolicy_instaterps_lowrecost,2050,Utility Solar,SP + 80% Instate,Low RE/BESS Cost,30.76
statedpolicy_instaterps_mid,2030,Nuclear,SP + 80% Instate,Mid,8.57
statedpolicy_instaterps_mid,2030,Offshore Wind,SP + 80% Instate,Mid,41.94
statedpolicy_instaterps_mid,2030,Utility Solar,SP + 80% Instate,Mid,8.06
statedpolicy_instaterps_mid,2040,Nuclear,SP + 80% Instate,Mid,6.07
statedpolicy_instaterps_mid,2040,Offshore Wind,SP + 80% Instate,Mid,36.63
statedpolicy_instaterps_mid,2040,Utility Solar,SP + 80% Instate,Mid,7.43
statedpolicy_instaterps_mid,2050,Nuclear,SP + 80% Instate,Mid,28.53
statedpolicy_instaterps_mid,2050,Offshore Wind,SP + 80% Instate,Mid,37.59
statedpolicy_instaterps_mid,2050,Utility Solar,SP + 80% Instate,Mid,37.59
statedpolicy_instaterps_noflexibleload,2030,Nuclear,SP + 80% Instate,No Flexible Load,8.34
statedpolicy_instaterps_noflexibleload,2030,Offshore Wind,SP + 80% Instate,No Flexible Load,41.51
statedpolicy_instaterps_noflexibleload,2030,Utility Solar,SP + 80% Instate,No Flexible Load,8.31
statedpolicy_instaterps_noflexibleload,2040,Nuclear,SP + 80% Instate,No Flexible Load,6.59
statedpolicy_instaterps_noflexibleload,2040,Offshore Wind,SP + 80% Instate,No Flexible Load,36.57
statedpolicy_instaterps_noflexibleload,2040,Utility Solar,SP + 80% Instate,No Flexible Load,8.2
statedpolicy_instaterps_noflexibleload,2050,Nuclear,SP + 80% Instate,No Flexible Load,28.62
statedpolicy_instaterps_noflexibleload,2050,Offshore Wind,SP + 80% Instate,No Flexible Load,34.24
statedpolicy_instaterps_noflexibleload,2050,Utility Solar,SP + 80% Instate,No Flexible Load,34.24
statedpolicy_instaterps_nointertrans,2030,Nuclear,SP + 80% Instate,No Interregional Transmission Upgrade,8.74
statedpolicy_instaterps_nointertrans,2030,Offshore Wind,SP + 80% Instate,No Interregional Transmission Upgrade,42.1
statedpolicy_instaterps_nointertrans,2030,Utility Solar,SP + 80% Instate,No Interregional Transmission Upgrade,7.43
statedpolicy_instaterps_nointertrans,2040,Nuclear,SP + 80% Instate,No Interregional Transmission Upgrade,7.11
statedpolicy_instaterps_nointertrans,2040,Offshore Wind,SP + 80% Instate,No Interregional Transmission Upgrade,36.27
statedpolicy_instaterps_nointertrans,2040,Utility Solar,SP + 80% Instate,No Interregional Transmission Upgrade,7.22
statedpolicy_instaterps_nointertrans,2050,Nuclear,SP + 80% Instate,No Interregional Transmission Upgrade,29.6
statedpolicy_instaterps_nointertrans,2050,Offshore Wind,SP + 80% Instate,No Interregional Transmission Upgrade,36.9
statedpolicy_instaterps_nointertrans,2050,Utility Solar,SP + 80% Instate,No Interregional Transmission Upgrade,36.9
statedpolicy_nuclear_doublezcfcost,2030,Nuclear,SP + Nuclear,Doubled ZCF Fuel Price,8.57
statedpolicy_nuclear_doublezcfcost,2030,Offshore Wind,SP + Nuclear,Doubled ZCF Fuel Price,41.94
statedpolicy_nuclear_doublezcfcost,2030,Utility Solar,SP + Nuclear,Doubled ZCF Fuel Price,8.06
statedpolicy_nuclear_doublezcfcost,2040,Nuclear,SP + Nuclear,Doubled ZCF Fuel Price,6.33
statedpolicy_nuclear_doublezcfcost,2040,Offshore Wind,SP + Nuclear,Doubled ZCF Fuel Price,36.18
statedpolicy_nuclear_doublezcfcost,2040,Utility Solar,SP + Nuclear,Doubled ZCF Fuel Price,4.36
statedpolicy_nuclear_doublezcfcost,2050,Nuclear,SP + Nuclear,Doubled ZCF Fuel Price,0
statedpolicy_nuclear_doublezcfcost,2050,Offshore Wind,SP + Nuclear,Doubled ZCF Fuel Price,21.87
statedpolicy_nuclear_doublezcfcost,2050,Utility Solar,SP + Nuclear,Doubled ZCF Fuel Price,1
statedpolicy_nuclear_highngcost,2030,Nuclear,SP + Nuclear,High NatGas Price,2.64
statedpolicy_nuclear_highngcost,2030,Offshore Wind,SP + Nuclear,High NatGas Price,36.22
statedpolicy_nuclear_highngcost,2030,Utility Solar,SP + Nuclear,High NatGas Price,4.83
statedpolicy_nuclear_highngcost,2040,Nuclear,SP + Nuclear,High NatGas Price,1.18
