case,year,Scenario,TechSensitivity,energy_revenue
deepdecarbonization_dgsolar_lowrecost,2030,DD + High Solar,Low RE/BESS Cost,357011292.6092101
deepdecarbonization_dgsolar_lowrecost,2040,DD + High Solar,Low RE/BESS Cost,465264352.4388258
deepdecarbonization_dgsolar_lowrecost,2050,DD + High Solar,Low RE/BESS Cost,659370725.08578825
deepdecarbonization_dgsolar_mid,2030,DD + High Solar,Mid,390165426.0882391
deepdecarbonization_dgsolar_mid,2040,DD + High Solar,Mid,535051479.22039664
deepdecarbonization_dgsolar_mid,2050,DD + High Solar,Mid,727348230.2263806
deepdecarbonization_dgsolar_noflexibleload,2030,DD + High Solar,No Flexible Load,386231391.26580715
deepdecarbonization_dgsolar_noflexibleload,2040,DD + High Solar,No Flexible Load,574194559.6105039
deepdecarbonization_dgsolar_noflexibleload,2050,DD + High Solar,No Flexible Load,795861054.4846888
deepdecarbonization_dgsolar_nointertrans,2030,DD + High Solar,No Interregional Transmission Upgrade,391444965.2614956
deepdecarbonization_dgsolar_nointertrans,2040,DD + High Solar,No Interregional Transmission Upgrade,536967613.4480236
deepdecarbonization_dgsolar_nointertrans,2050,DD + High Solar,No Interregional Transmission Upgrade,715307819.8040335
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2030,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,390165426.0882391
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2040,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,531460346.4316614
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2050,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,685128402.3232433
deepdecarbonization_dgsolar_nuclear_highngcost,2030,DD + High Solar + Nuclear,High NatGas Price,393914379.594657
deepdecarbonization_dgsolar_nuclear_highngcost,2040,DD + High Solar + Nuclear,High NatGas Price,537906692.640535
deepdecarbonization_dgsolar_nuclear_highngcost,2050,DD + High Solar + Nuclear,High NatGas Price,719871014.6475028
deepdecarbonization_dgsolar_nuclear_highrecost,2030,DD + High Solar + Nuclear,High RE/BESS Cost,444109862.1288123
deepdecarbonization_dgsolar_nuclear_highrecost,2040,DD + High Solar + Nuclear,High RE/BESS Cost,708245522.0709331
deepdecarbonization_dgsolar_nuclear_highrecost,2050,DD + High Solar + Nuclear,High RE/BESS Cost,769008683.8303865
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2030,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,390165023.44051594
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2040,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,531460247.31824744
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2050,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,685123513.916066
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2030,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,393916658.55054903
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2040,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,537907199.6139609
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2050,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,719185005.2864091
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2030,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,444107984.5469332
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2040,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,708208588.3801029
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2050,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,747449971.3457648
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2030,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,394558066.7148037
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2040,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,535204416.435537
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2050,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,693011229.8293898
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2030,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,357011493.80182517
