year,AnnualLoad,Cost Type,value
2019,787206443,Energy Payment,19649253302
2019,787206443,Capacity Payment,8700000000
2019,787206443,Transmission Cost,8019000000
2019,787206443,Congestion Revenue,-677680347
2019,787206443,RPS Total Payment,960137583.2
2019,787206443,Transmission Loss Cost,137000000
2019,787206443,NSE Cost,0
2019,787206443,CO2 Revenue,84503288.59
