case,year,Scenario,TechSensitivity,rps_revenue
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2030,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,38727575
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2040,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,7921396
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2050,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,165476981
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2030,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,1479732
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2040,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,0
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2050,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,214731181
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2030,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,77495349
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2040,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,135150772
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2050,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,364116366
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2030,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,65773676
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2040,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,77179430
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2050,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,351915363
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2030,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,21111931
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2040,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,0
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2050,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,109671638
statedpolicy_dgsolar_nuclear_instaterps_mid,2030,SP + High Solar + Nuclear + 80% Instate,Mid,38727575
statedpolicy_dgsolar_nuclear_instaterps_mid,2040,SP + High Solar + Nuclear + 80% Instate,Mid,9349689
statedpolicy_dgsolar_nuclear_instaterps_mid,2050,SP + High Solar + Nuclear + 80% Instate,Mid,231925794
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2030,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,41644560
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2040,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,12670598
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2050,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,229202375
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2030,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,39275892
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2040,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2050,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,163645894
statedpolicy_dgsolar_nuclear_lowngcost,2030,SP + High Solar + Nuclear,Low NatGas Price,65773111
statedpolicy_dgsolar_nuclear_lowngcost,2040,SP + High Solar + Nuclear,Low NatGas Price,77178471
statedpolicy_dgsolar_nuclear_lowngcost,2050,SP + High Solar + Nuclear,Low NatGas Price,105927855
statedpolicy_dgsolar_nuclear_lowrecost,2030,SP + High Solar + Nuclear,Low RE/BESS Cost,21112177
statedpolicy_dgsolar_nuclear_lowrecost,2040,SP + High Solar + Nuclear,Low RE/BESS Cost,-1
statedpolicy_dgsolar_nuclear_lowrecost,2050,SP + High Solar + Nuclear,Low RE/BESS Cost,-3
statedpolicy_dgsolar_nuclear_mid,2030,SP + High Solar + Nuclear,Mid,38728469
statedpolicy_dgsolar_nuclear_mid,2040,SP + High Solar + Nuclear,Mid,9349616
statedpolicy_dgsolar_nuclear_mid,2050,SP + High Solar + Nuclear,Mid,20100800
statedpolicy_dgsolar_nuclear_noflexibleload,2030,SP + High Solar + Nuclear,No Flexible Load,41644972
statedpolicy_dgsolar_nuclear_noflexibleload,2040,SP + High Solar + Nuclear,No Flexible Load,12669416
statedpolicy_dgsolar_nuclear_noflexibleload,2050,SP + High Solar + Nuclear,No Flexible Load,29659882
statedpolicy_dgsolar_nuclear_nointertrans,2030,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,39275917
statedpolicy_dgsolar_nuclear_nointertrans,2040,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,0
statedpolicy_dgsolar_nuclear_nointertrans,2050,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,0
statedpolicy_doublezcfcost,2030,Stated Policy (SP),Doubled ZCF Fuel Price,29763871
statedpolicy_doublezcfcost,2040,Stated Policy (SP),Doubled ZCF Fuel Price,3881380
statedpolicy_doublezcfcost,2050,Stated Policy (SP),Doubled ZCF Fuel Price,8597943
statedpolicy_highngcost,2030,Stated Policy (SP),High NatGas Price,1923431
statedpolicy_highngcost,2040,Stated Policy (SP),High NatGas Price,0
statedpolicy_highngcost,2050,Stated Policy (SP),High NatGas Price,0
statedpolicy_highrecost,2030,Stated Policy (SP),High RE/BESS Cost,55829797
statedpolicy_highrecost,2040,Stated Policy (SP),High RE/BESS Cost,58055183
statedpolicy_highrecost,2050,Stated Policy (SP),High RE/BESS Cost,30543558
statedpolicy_instaterps_doublezcfcost,2030,SP + 80% Instate,Doubled ZCF Fuel Price,29763754
statedpolicy_instaterps_doublezcfcost,2040,SP + 80% Instate,Doubled ZCF Fuel Price,74747548
statedpolicy_instaterps_doublezcfcost,2050,SP + 80% Instate,Doubled ZCF Fuel Price,378719650
statedpolicy_instaterps_highngcost,2030,SP + 80% Instate,High NatGas Price,1923484
statedpolicy_instaterps_highngcost,2040,SP + 80% Instate,High NatGas Price,72230294
statedpolicy_instaterps_highngcost,2050,SP + 80% Instate,High NatGas Price,314510989
statedpolicy_instaterps_highrecost,2030,SP + 80% Instate,High RE/BESS Cost,55829726
statedpolicy_instaterps_highrecost,2040,SP + 80% Instate,High RE/BESS Cost,169814065
statedpolicy_instaterps_highrecost,2050,SP + 80% Instate,High RE/BESS Cost,744203029
statedpolicy_instaterps_lowngcost,2030,SP + 80% Instate,Low NatGas Price,47138152
statedpolicy_instaterps_lowngcost,2040,SP + 80% Instate,Low NatGas Price,143480176
statedpolicy_instaterps_lowngcost,2050,SP + 80% Instate,Low NatGas Price,443673210
statedpolicy_instaterps_lowrecost,2030,SP + 80% Instate,Low RE/BESS Cost,17203488
statedpolicy_instaterps_lowrecost,2040,SP + 80% Instate,Low RE/BESS Cost,82651483
statedpolicy_instaterps_lowrecost,2050,SP + 80% Instate,Low RE/BESS Cost,324512568
statedpolicy_instaterps_mid,2030,SP + 80% Instate,Mid,29763754
statedpolicy_instaterps_mid,2040,SP + 80% Instate,Mid,78403649
statedpolicy_instaterps_mid,2050,SP + 80% Instate,Mid,396543657
statedpolicy_instaterps_noflexibleload,2030,SP + 80% Instate,No Flexible Load,32645349
statedpolicy_instaterps_noflexibleload,2040,SP + 80% Instate,No Flexible Load,86498497
statedpolicy_instaterps_noflexibleload,2050,SP + 80% Instate,No Flexible Load,361216990
statedpolicy_instaterps_nointertrans,2030,SP + 80% Instate,No Interregional Transmission Upgrade,28453163
statedpolicy_instaterps_nointertrans,2040,SP + 80% Instate,No Interregional Transmission Upgrade,76160461
statedpolicy_instaterps_nointertrans,2050,SP + 80% Instate,No Interregional Transmission Upgrade,389269845
statedpolicy_lowngcost,2030,Stated Policy (SP),Low NatGas Price,47138396
statedpolicy_lowngcost,2040,Stated Policy (SP),Low NatGas Price,32815703
statedpolicy_lowngcost,2050,Stated Policy (SP),Low NatGas Price,39099483
statedpolicy_lowrecost,2030,Stated Policy (SP),Low RE/BESS Cost,17202955
statedpolicy_lowrecost,2040,Stated Policy (SP),Low RE/BESS Cost,0
statedpolicy_lowrecost,2050,Stated Policy (SP),Low RE/BESS Cost,-2
statedpolicy_mid,2030,Stated Policy (SP),Mid,29763871
statedpolicy_mid,2040,Stated Policy (SP),Mid,4197846
statedpolicy_mid,2050,Stated Policy (SP),Mid,8487610
statedpolicy_noflexibleload,2030,Stated Policy (SP),No Flexible Load,32643889
statedpolicy_noflexibleload,2040,Stated Policy (SP),No Flexible Load,5992917
statedpolicy_noflexibleload,2050,Stated Policy (SP),No Flexible Load,12914693
statedpolicy_nointertrans,2030,Stated Policy (SP),No Interregional Transmission Upgrade,28452491
statedpolicy_nointertrans,2040,Stated Policy (SP),No Interregional Transmission Upgrade,1007399
statedpolicy_nointertrans,2050,Stated Policy (SP),No Interregional Transmission Upgrade,1438681
statedpolicy_nuclear_doublezcfcost,2030,SP + Nuclear,Doubled ZCF Fuel Price,29763871
statedpolicy_nuclear_doublezcfcost,2040,SP + Nuclear,Doubled ZCF Fuel Price,5156975
statedpolicy_nuclear_doublezcfcost,2050,SP + Nuclear,Doubled ZCF Fuel Price,10503066
statedpolicy_nuclear_highngcost,2030,SP + Nuclear,High NatGas Price,1923431
statedpolicy_nuclear_highngcost,2040,SP + Nuclear,High NatGas Price,0
statedpolicy_nuclear_highngcost,2050,SP + Nuclear,High NatGas Price,0
statedpolicy_nuclear_highrecost,2030,SP + Nuclear,High RE/BESS Cost,55828656
statedpolicy_nuclear_highrecost,2040,SP + Nuclear,High RE/BESS Cost,58798908
statedpolicy_nuclear_highrecost,2050,SP + Nuclear,High RE/BESS Cost,31337118
statedpolicy_nuclear_instaterps_doublezcfcost,2030,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,29763754
statedpolicy_nuclear_instaterps_doublezcfcost,2040,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,86322249
statedpolicy_nuclear_instaterps_doublezcfcost,2050,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,346371916
statedpolicy_nuclear_instaterps_highngcost,2030,SP + Nuclear + 80% Instate,High NatGas Price,1923484
statedpolicy_nuclear_instaterps_highngcost,2040,SP + Nuclear + 80% Instate,High NatGas Price,79001237
statedpolicy_nuclear_instaterps_highngcost,2050,SP + Nuclear + 80% Instate,High NatGas Price,306898898
statedpolicy_nuclear_instaterps_highrecost,2030,SP + Nuclear + 80% Instate,High RE/BESS Cost,55829726
statedpolicy_nuclear_instaterps_highrecost,2040,SP + Nuclear + 80% Instate,High RE/BESS Cost,176901888
statedpolicy_nuclear_instaterps_highrecost,2050,SP + Nuclear + 80% Instate,High RE/BESS Cost,693097653
statedpolicy_nuclear_instaterps_lowngcost,2030,SP + Nuclear + 80% Instate,Low NatGas Price,47138152
statedpolicy_nuclear_instaterps_lowngcost,2040,SP + Nuclear + 80% Instate,Low NatGas Price,129080919
statedpolicy_nuclear_instaterps_lowngcost,2050,SP + Nuclear + 80% Instate,Low NatGas Price,444018724
statedpolicy_nuclear_instaterps_lowrecost,2030,SP + Nuclear + 80% Instate,Low RE/BESS Cost,17203346
statedpolicy_nuclear_instaterps_lowrecost,2040,SP + Nuclear + 80% Instate,Low RE/BESS Cost,57817220
statedpolicy_nuclear_instaterps_lowrecost,2050,SP + Nuclear + 80% Instate,Low RE/BESS Cost,254317344
statedpolicy_nuclear_instaterps_mid,2030,SP + Nuclear + 80% Instate,Mid,29763754
statedpolicy_nuclear_instaterps_mid,2040,SP + Nuclear + 80% Instate,Mid,88905212
statedpolicy_nuclear_instaterps_mid,2050,SP + Nuclear + 80% Instate,Mid,383324492
statedpolicy_nuclear_instaterps_noflexibleload,2030,SP + Nuclear + 80% Instate,No Flexible Load,32645349
statedpolicy_nuclear_instaterps_noflexibleload,2040,SP + Nuclear + 80% Instate,No Flexible Load,94439026
statedpolicy_nuclear_instaterps_noflexibleload,2050,SP + Nuclear + 80% Instate,No Flexible Load,357812639
statedpolicy_nuclear_instaterps_nointertrans,2030,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,28453163
statedpolicy_nuclear_instaterps_nointertrans,2040,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,79386989
statedpolicy_nuclear_instaterps_nointertrans,2050,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,375581453
statedpolicy_nuclear_lowngcost,2030,SP + Nuclear,Low NatGas Price,47138396
statedpolicy_nuclear_lowngcost,2040,SP + Nuclear,Low NatGas Price,33881384
statedpolicy_nuclear_lowngcost,2050,SP + Nuclear,Low NatGas Price,39369545
statedpolicy_nuclear_lowrecost,2030,SP + Nuclear,Low RE/BESS Cost,17202955
statedpolicy_nuclear_lowrecost,2040,SP + Nuclear,Low RE/BESS Cost,0
statedpolicy_nuclear_lowrecost,2050,SP + Nuclear,Low RE/BESS Cost,-1
statedpolicy_nuclear_mid,2030,SP + Nuclear,Mid,29763871
statedpolicy_nuclear_mid,2040,SP + Nuclear,Mid,5297523
statedpolicy_nuclear_mid,2050,SP + Nuclear,Mid,10794205
statedpolicy_nuclear_noflexibleload,2030,SP + Nuclear,No Flexible Load,32643889
statedpolicy_nuclear_noflexibleload,2040,SP + Nuclear,No Flexible Load,7432859
statedpolicy_nuclear_noflexibleload,2050,SP + Nuclear,No Flexible Load,15101636
statedpolicy_nuclear_nointertrans,2030,SP + Nuclear,No Interregional Transmission Upgrade,28452491
statedpolicy_nuclear_nointertrans,2040,SP + Nuclear,No Interregional Transmission Upgrade,1729359
statedpolicy_nuclear_nointertrans,2050,SP + Nuclear,No Interregional Transmission Upgrade,4236872
