case,year,Scenario,TechSensitivity,capacity_revenue
deepdecarbonization_dgsolar_lowrecost,2030,DD + High Solar,Low RE/BESS Cost,2774182.3785989042
deepdecarbonization_dgsolar_lowrecost,2040,DD + High Solar,Low RE/BESS Cost,5007359.739039526
deepdecarbonization_dgsolar_lowrecost,2050,DD + High Solar,Low RE/BESS Cost,10639882.961110968
deepdecarbonization_dgsolar_mid,2030,DD + High Solar,Mid,2140454.403230864
deepdecarbonization_dgsolar_mid,2040,DD + High Solar,Mid,2254223.9957820675
deepdecarbonization_dgsolar_mid,2050,DD + High Solar,Mid,3079927.917042952
deepdecarbonization_dgsolar_noflexibleload,2030,DD + High Solar,No Flexible Load,1167560.625625296
deepdecarbonization_dgsolar_noflexibleload,2040,DD + High Solar,No Flexible Load,2958460.2103964435
deepdecarbonization_dgsolar_noflexibleload,2050,DD + High Solar,No Flexible Load,10752166.601214746
deepdecarbonization_dgsolar_nointertrans,2030,DD + High Solar,No Interregional Transmission Upgrade,3033871.3901055283
deepdecarbonization_dgsolar_nointertrans,2040,DD + High Solar,No Interregional Transmission Upgrade,2833993.7710723924
deepdecarbonization_dgsolar_nointertrans,2050,DD + High Solar,No Interregional Transmission Upgrade,2935190.9692828264
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2030,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,2140454.403230864
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2040,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,3654496.7686333274
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2050,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,5768431.213501705
deepdecarbonization_dgsolar_nuclear_highngcost,2030,DD + High Solar + Nuclear,High NatGas Price,1503229.934652152
deepdecarbonization_dgsolar_nuclear_highngcost,2040,DD + High Solar + Nuclear,High NatGas Price,3753148.8433952993
deepdecarbonization_dgsolar_nuclear_highngcost,2050,DD + High Solar + Nuclear,High NatGas Price,4262707.91196299
deepdecarbonization_dgsolar_nuclear_highrecost,2030,DD + High Solar + Nuclear,High RE/BESS Cost,4608284.081955289
deepdecarbonization_dgsolar_nuclear_highrecost,2040,DD + High Solar + Nuclear,High RE/BESS Cost,920060.403971713
deepdecarbonization_dgsolar_nuclear_highrecost,2050,DD + High Solar + Nuclear,High RE/BESS Cost,743525.4648674632
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2030,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,2140476.485067928
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2040,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,3654478.78465763
