case,year,Scenario,TechSensitivity,capacity_revenue
statedpolicy_dgsolar_instaterps_nointertrans,2040,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,24691810.05087074
statedpolicy_dgsolar_instaterps_nointertrans,2050,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,16012796.218342975
statedpolicy_dgsolar_lowngcost,2030,SP + High Solar,Low NatGas Price,39500443.34018396
statedpolicy_dgsolar_lowngcost,2040,SP + High Solar,Low NatGas Price,12677598.484501235
statedpolicy_dgsolar_lowngcost,2050,SP + High Solar,Low NatGas Price,12726870.865132172
statedpolicy_dgsolar_lowrecost,2030,SP + High Solar,Low RE/BESS Cost,4574481.864550864
statedpolicy_dgsolar_lowrecost,2040,SP + High Solar,Low RE/BESS Cost,6406679.378454514
statedpolicy_dgsolar_lowrecost,2050,SP + High Solar,Low RE/BESS Cost,4449691.856503464
statedpolicy_dgsolar_mid,2030,SP + High Solar,Mid,9841665.45475484
statedpolicy_dgsolar_mid,2040,SP + High Solar,Mid,12172408.377356496
statedpolicy_dgsolar_mid,2050,SP + High Solar,Mid,4249298.299251733
statedpolicy_dgsolar_noflexibleload,2030,SP + High Solar,No Flexible Load,6980580.807466672
statedpolicy_dgsolar_noflexibleload,2040,SP + High Solar,No Flexible Load,21305374.56354712
statedpolicy_dgsolar_noflexibleload,2050,SP + High Solar,No Flexible Load,25431641.769303925
statedpolicy_dgsolar_nointertrans,2030,SP + High Solar,No Interregional Transmission Upgrade,14922166.368263055
statedpolicy_dgsolar_nointertrans,2040,SP + High Solar,No Interregional Transmission Upgrade,24727054.963518687
statedpolicy_dgsolar_nointertrans,2050,SP + High Solar,No Interregional Transmission Upgrade,14716514.450969767
statedpolicy_dgsolar_nuclear_doublezcfcost,2030,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,9841665.45475484
statedpolicy_dgsolar_nuclear_doublezcfcost,2040,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,14148843.073927876
statedpolicy_dgsolar_nuclear_doublezcfcost,2050,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,9698621.068399355
statedpolicy_dgsolar_nuclear_highngcost,2030,SP + High Solar + Nuclear,High NatGas Price,5222198.3403806165
statedpolicy_dgsolar_nuclear_highngcost,2040,SP + High Solar + Nuclear,High NatGas Price,8506463.901219126
statedpolicy_dgsolar_nuclear_highngcost,2050,SP + High Solar + Nuclear,High NatGas Price,4814964.161674242
statedpolicy_dgsolar_nuclear_highrecost,2030,SP + High Solar + Nuclear,High RE/BESS Cost,49417175.07954668
statedpolicy_dgsolar_nuclear_highrecost,2040,SP + High Solar + Nuclear,High RE/BESS Cost,20367125.72628717
statedpolicy_dgsolar_nuclear_highrecost,2050,SP + High Solar + Nuclear,High RE/BESS Cost,12996608.582717363
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2030,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,9842250.081093583
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2040,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,14149151.254660308
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2050,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,9938380.641000977
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2030,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,5222151.639136208
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2040,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,8506563.512750221
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2050,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,4776866.803588622
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2030,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,49417329.87133376
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2040,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,20367089.896541163
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2050,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,13034858.97775924
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2030,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,39499156.45370929
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2040,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,13592895.363475047
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2050,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,13093120.352186982
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2030,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,4574503.8170216
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2040,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,5750993.074331433
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2050,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,4766450.4088427015
statedpolicy_dgsolar_nuclear_instaterps_mid,2030,SP + High Solar + Nuclear + 80% Instate,Mid,9842250.081093583
statedpolicy_dgsolar_nuclear_instaterps_mid,2040,SP + High Solar + Nuclear + 80% Instate,Mid,11648334.214670474
statedpolicy_dgsolar_nuclear_instaterps_mid,2050,SP + High Solar + Nuclear + 80% Instate,Mid,4959900.748490417
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2030,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,6981131.579632504
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2040,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,23068439.943908677
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2050,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,26582893.580572966
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2030,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,14922160.646290857
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2040,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,24780815.71801146
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2050,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,16759319.26422662
statedpolicy_dgsolar_nuclear_lowngcost,2030,SP + High Solar + Nuclear,Low NatGas Price,39500443.34018396
statedpolicy_dgsolar_nuclear_lowngcost,2040,SP + High Solar + Nuclear,Low NatGas Price,13592941.005803376
statedpolicy_dgsolar_nuclear_lowngcost,2050,SP + High Solar + Nuclear,Low NatGas Price,13082312.155475538
statedpolicy_dgsolar_nuclear_lowrecost,2030,SP + High Solar + Nuclear,Low RE/BESS Cost,4574485.1584166
statedpolicy_dgsolar_nuclear_lowrecost,2040,SP + High Solar + Nuclear,Low RE/BESS Cost,5750977.940841798
statedpolicy_dgsolar_nuclear_lowrecost,2050,SP + High Solar + Nuclear,Low RE/BESS Cost,4712722.928176459
statedpolicy_dgsolar_nuclear_mid,2030,SP + High Solar + Nuclear,Mid,9841665.45475484
statedpolicy_dgsolar_nuclear_mid,2040,SP + High Solar + Nuclear,Mid,11648332.57348153
statedpolicy_dgsolar_nuclear_mid,2050,SP + High Solar + Nuclear,Mid,4964997.004129232
statedpolicy_dgsolar_nuclear_noflexibleload,2030,SP + High Solar + Nuclear,No Flexible Load,6980580.807466672
statedpolicy_dgsolar_nuclear_noflexibleload,2040,SP + High Solar + Nuclear,No Flexible Load,23068126.615025662
statedpolicy_dgsolar_nuclear_noflexibleload,2050,SP + High Solar + Nuclear,No Flexible Load,26576753.282243986
statedpolicy_dgsolar_nuclear_nointertrans,2030,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,14922166.368263055
statedpolicy_dgsolar_nuclear_nointertrans,2040,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,24780812.556563284
statedpolicy_dgsolar_nuclear_nointertrans,2050,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,17031565.429452624
statedpolicy_doublezcfcost,2030,Stated Policy (SP),Doubled ZCF Fuel Price,7732183.427180644
statedpolicy_doublezcfcost,2040,Stated Policy (SP),Doubled ZCF Fuel Price,9653120.342453588
statedpolicy_doublezcfcost,2050,Stated Policy (SP),Doubled ZCF Fuel Price,3363441.1058365586
statedpolicy_highngcost,2030,Stated Policy (SP),High NatGas Price,4502053.311253646
statedpolicy_highngcost,2040,Stated Policy (SP),High NatGas Price,4807898.59293199
statedpolicy_highngcost,2050,Stated Policy (SP),High NatGas Price,1899030.9991817907
statedpolicy_highrecost,2030,Stated Policy (SP),High RE/BESS Cost,39947380.41706234
statedpolicy_highrecost,2040,Stated Policy (SP),High RE/BESS Cost,9702042.207156029
statedpolicy_highrecost,2050,Stated Policy (SP),High RE/BESS Cost,4055650.9321133634
statedpolicy_instaterps_doublezcfcost,2030,SP + 80% Instate,Doubled ZCF Fuel Price,7732358.927297313
statedpolicy_instaterps_doublezcfcost,2040,SP + 80% Instate,Doubled ZCF Fuel Price,8270473.968210755
statedpolicy_instaterps_doublezcfcost,2050,SP + 80% Instate,Doubled ZCF Fuel Price,3501184.278479348
statedpolicy_instaterps_highngcost,2030,SP + 80% Instate,High NatGas Price,4502024.571874122
statedpolicy_instaterps_highngcost,2040,SP + 80% Instate,High NatGas Price,4655885.114704451
statedpolicy_instaterps_highngcost,2050,SP + 80% Instate,High NatGas Price,1655922.0887145014
statedpolicy_instaterps_highrecost,2030,SP + 80% Instate,High RE/BESS Cost,39947631.87780876
statedpolicy_instaterps_highrecost,2040,SP + 80% Instate,High RE/BESS Cost,9309630.193975791
statedpolicy_instaterps_highrecost,2050,SP + 80% Instate,High RE/BESS Cost,3404499.1534046195
statedpolicy_instaterps_lowngcost,2030,SP + 80% Instate,Low NatGas Price,30755823.57420595
statedpolicy_instaterps_lowngcost,2040,SP + 80% Instate,Low NatGas Price,5910084.45017946
statedpolicy_instaterps_lowngcost,2050,SP + 80% Instate,Low NatGas Price,4256982.625749306
statedpolicy_instaterps_lowrecost,2030,SP + 80% Instate,Low RE/BESS Cost,5043200.296700764
statedpolicy_instaterps_lowrecost,2040,SP + 80% Instate,Low RE/BESS Cost,3318152.234739925
statedpolicy_instaterps_lowrecost,2050,SP + 80% Instate,Low RE/BESS Cost,1932673.432628635
statedpolicy_instaterps_mid,2030,SP + 80% Instate,Mid,7732358.927297313
statedpolicy_instaterps_mid,2040,SP + 80% Instate,Mid,6181868.611326512
statedpolicy_instaterps_mid,2050,SP + 80% Instate,Mid,1816611.456860837
statedpolicy_instaterps_noflexibleload,2030,SP + 80% Instate,No Flexible Load,6995621.375200584
statedpolicy_instaterps_noflexibleload,2040,SP + 80% Instate,No Flexible Load,11725402.423603114
statedpolicy_instaterps_noflexibleload,2050,SP + 80% Instate,No Flexible Load,2668724.691730917
statedpolicy_instaterps_nointertrans,2030,SP + 80% Instate,No Interregional Transmission Upgrade,16868794.5509077
statedpolicy_instaterps_nointertrans,2040,SP + 80% Instate,No Interregional Transmission Upgrade,10965265.757218238
statedpolicy_instaterps_nointertrans,2050,SP + 80% Instate,No Interregional Transmission Upgrade,6290646.181547848
statedpolicy_lowngcost,2030,Stated Policy (SP),Low NatGas Price,30755925.94456765
statedpolicy_lowngcost,2040,Stated Policy (SP),Low NatGas Price,6830537.119860696
statedpolicy_lowngcost,2050,Stated Policy (SP),Low NatGas Price,4618484.423208109
statedpolicy_lowrecost,2030,Stated Policy (SP),Low RE/BESS Cost,5043086.828745205
statedpolicy_lowrecost,2040,Stated Policy (SP),Low RE/BESS Cost,3960138.876362313
statedpolicy_lowrecost,2050,Stated Policy (SP),Low RE/BESS Cost,1390799.8089269423
statedpolicy_mid,2030,Stated Policy (SP),Mid,7732183.427180644
statedpolicy_mid,2040,Stated Policy (SP),Mid,6636568.700930646
statedpolicy_mid,2050,Stated Policy (SP),Mid,1869053.411976569
statedpolicy_noflexibleload,2030,Stated Policy (SP),No Flexible Load,6995710.311261315
statedpolicy_noflexibleload,2040,Stated Policy (SP),No Flexible Load,12069692.191840155
statedpolicy_noflexibleload,2050,Stated Policy (SP),No Flexible Load,2671582.1527214064
statedpolicy_nointertrans,2030,Stated Policy (SP),No Interregional Transmission Upgrade,16868609.252152175
statedpolicy_nointertrans,2040,Stated Policy (SP),No Interregional Transmission Upgrade,11967052.2263828
statedpolicy_nointertrans,2050,Stated Policy (SP),No Interregional Transmission Upgrade,6056702.026951857
statedpolicy_nuclear_doublezcfcost,2030,SP + Nuclear,Doubled ZCF Fuel Price,7732183.427180644
statedpolicy_nuclear_doublezcfcost,2040,SP + Nuclear,Doubled ZCF Fuel Price,9443231.401495822
statedpolicy_nuclear_doublezcfcost,2050,SP + Nuclear,Doubled ZCF Fuel Price,4451106.283921735
statedpolicy_nuclear_highngcost,2030,SP + Nuclear,High NatGas Price,4502053.311253646
statedpolicy_nuclear_highngcost,2040,SP + Nuclear,High NatGas Price,5196025.812415032
statedpolicy_nuclear_highngcost,2050,SP + Nuclear,High NatGas Price,2392704.6100688
statedpolicy_nuclear_highrecost,2030,SP + Nuclear,High RE/BESS Cost,39947065.51930675
statedpolicy_nuclear_highrecost,2040,SP + Nuclear,High RE/BESS Cost,10479051.684898382
statedpolicy_nuclear_highrecost,2050,SP + Nuclear,High RE/BESS Cost,4097312.174853132
statedpolicy_nuclear_instaterps_doublezcfcost,2030,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,7732358.927297313
statedpolicy_nuclear_instaterps_doublezcfcost,2040,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,7026988.328916715
statedpolicy_nuclear_instaterps_doublezcfcost,2050,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,3875300.637461618
statedpolicy_nuclear_instaterps_highngcost,2030,SP + Nuclear + 80% Instate,High NatGas Price,4502024.571874122
statedpolicy_nuclear_instaterps_highngcost,2040,SP + Nuclear + 80% Instate,High NatGas Price,4972291.380636017
statedpolicy_nuclear_instaterps_highngcost,2050,SP + Nuclear + 80% Instate,High NatGas Price,1687709.910912349
statedpolicy_nuclear_instaterps_highrecost,2030,SP + Nuclear + 80% Instate,High RE/BESS Cost,39947631.87780876
statedpolicy_nuclear_instaterps_highrecost,2040,SP + Nuclear + 80% Instate,High RE/BESS Cost,9663451.595218612
statedpolicy_nuclear_instaterps_highrecost,2050,SP + Nuclear + 80% Instate,High RE/BESS Cost,4000799.7190203033
statedpolicy_nuclear_instaterps_lowngcost,2030,SP + Nuclear + 80% Instate,Low NatGas Price,30755823.57420595
statedpolicy_nuclear_instaterps_lowngcost,2040,SP + Nuclear + 80% Instate,Low NatGas Price,6400071.238482805
statedpolicy_nuclear_instaterps_lowngcost,2050,SP + Nuclear + 80% Instate,Low NatGas Price,4607606.409218789
statedpolicy_nuclear_instaterps_lowrecost,2030,SP + Nuclear + 80% Instate,Low RE/BESS Cost,5042942.913001906
statedpolicy_nuclear_instaterps_lowrecost,2040,SP + Nuclear + 80% Instate,Low RE/BESS Cost,3284648.2035371386
statedpolicy_nuclear_instaterps_lowrecost,2050,SP + Nuclear + 80% Instate,Low RE/BESS Cost,1780383.1852106696
statedpolicy_nuclear_instaterps_mid,2030,SP + Nuclear + 80% Instate,Mid,7732358.927297313
statedpolicy_nuclear_instaterps_mid,2040,SP + Nuclear + 80% Instate,Mid,6113608.0668534
statedpolicy_nuclear_instaterps_mid,2050,SP + Nuclear + 80% Instate,Mid,1611919.9243260187
statedpolicy_nuclear_instaterps_noflexibleload,2030,SP + Nuclear + 80% Instate,No Flexible Load,6995621.375200584
statedpolicy_nuclear_instaterps_noflexibleload,2040,SP + Nuclear + 80% Instate,No Flexible Load,11868316.051352462
statedpolicy_nuclear_instaterps_noflexibleload,2050,SP + Nuclear + 80% Instate,No Flexible Load,2674438.8230436305
statedpolicy_nuclear_instaterps_nointertrans,2030,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,16868794.5509077
statedpolicy_nuclear_instaterps_nointertrans,2040,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,10721410.33589668
statedpolicy_nuclear_instaterps_nointertrans,2050,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,6435106.78705528
statedpolicy_nuclear_lowngcost,2030,SP + Nuclear,Low NatGas Price,30755925.94456765
statedpolicy_nuclear_lowngcost,2040,SP + Nuclear,Low NatGas Price,7134556.084918667
statedpolicy_nuclear_lowngcost,2050,SP + Nuclear,Low NatGas Price,4752653.394078223
statedpolicy_nuclear_lowrecost,2030,SP + Nuclear,Low RE/BESS Cost,5043086.828745205
statedpolicy_nuclear_lowrecost,2040,SP + Nuclear,Low RE/BESS Cost,4179246.769265218
statedpolicy_nuclear_lowrecost,2050,SP + Nuclear,Low RE/BESS Cost,1502790.5843816947
statedpolicy_nuclear_mid,2030,SP + Nuclear,Mid,7732183.427180644
statedpolicy_nuclear_mid,2040,SP + Nuclear,Mid,6568147.876704967
statedpolicy_nuclear_mid,2050,SP + Nuclear,Mid,1999609.8901394615
statedpolicy_nuclear_noflexibleload,2030,SP + Nuclear,No Flexible Load,6995710.311261315
statedpolicy_nuclear_noflexibleload,2040,SP + Nuclear,No Flexible Load,12290013.167528577
statedpolicy_nuclear_noflexibleload,2050,SP + Nuclear,No Flexible Load,2845680.4145564325
statedpolicy_nuclear_nointertrans,2030,SP + Nuclear,No Interregional Transmission Upgrade,16868609.252152175
statedpolicy_nuclear_nointertrans,2040,SP + Nuclear,No Interregional Transmission Upgrade,11981136.026031015
statedpolicy_nuclear_nointertrans,2050,SP + Nuclear,No Interregional Transmission Upgrade,7450523.092271821
